"","Alphacoronavirus","Alphapapillomavirus","Alphavirus","Aphthovirus","Asfivirus","Atadenovirus","Betacoronavirus","Betaretrovirus","Capripoxvirus","Cardiovirus","Circovirus","Coltivirus","Cytomegalovirus","Deltacoronavirus","Deltapapillomavirus","Deltaretrovirus","Ebolavirus","Enterovirus","Ephemerovirus","Epsilonpapillomavirus","Erbovirus","Flavivirus","Gammacoronavirus","Gammaretrovirus","Henipavirus","Hepacivirus","Hepatovirus","Ictalurivirus","Iotapapillomavirus","Kappapapillomavirus","Lagovirus","Lambdapapillomavirus","Lentivirus","Leporipoxvirus","Lymphocryptovirus","Lyssavirus","Mamastrovirus","Marburgvirus","Mastadenovirus","Metapneumovirus","Morbillivirus","Muromegalovirus","Norovirus","Nucleorhabdovirus","Omikronpapillomavirus","Orbivirus","Orthobunyavirus","Orthohepadnavirus","Orthopoxvirus","Orthoreovirus","Parapoxvirus","Parechovirus","Pestivirus","Phlebovirus","Picobirnavirus","Pipapillomavirus","Respirovirus","Rhadinovirus","Rotavirus","Sapovirus","Seadornavirus","Simplexvirus","Suipoxvirus","Teschovirus","Thogotovirus","Torovirus","Varicellovirus","Vesiculovirus","Vesivirus","Xipapillomavirus","Yatapoxvirus","Zetapapillomavirus"
"Eidolon_helvum",0.42926316786816,0.000363011797310771,0.0724551075089703,0.0382368565235558,0.038236856523555,0.0382368565235559,0.498858500670544,0.000881600079172927,0.000597212956857923,0.0382368565235561,0.0382368565235564,0.0437676016418232,0.000597212956861855,0.150294256269554,0.000363011797305923,0.000881600079171691,0.305341082180586,0.0382368565235521,0.0382368565235529,0.000363011797306883,0.0382368565235523,0.352008633987483,0.150294256269556,0.000881600079173903,0.474824611831454,0.0382368565235527,0.0382368565235511,0.0382368565235602,0.000363011797306138,0.000363011797305467,0.0382368565235563,0.000363011797306413,0.000881600079173226,0.000597212956858505,0.000597212956862471,0.40957921294991,0.0382368565235468,0.0681052339335617,0.0382368565235549,0.0382368565235546,0.113935079086661,0.000597212956862216,0.0382368565235545,0.0382368565235523,0.000363011797306989,0.252305937923254,0.27186960225948,0.0377539459705032,0.00059721295685857,0.0591180735653576,0.000597212956859056,0.0382368565235487,0.0382368565235596,0.0533625849291439,0.038236856523547,0.000363011797307674,0.113935079086662,0.00059721295686284,0.0437676016418237,0.0382368565235542,0.043767601641825,0.000597212956861992,0.000597212956858787,0.0382368565235535,0.0382368565235479,0.00308560027710097,0.00059721295686196,0.0394172212416814,0.0382368565235531,0.000363011797307399,0.000597212956858621,0.000363011797307587
"Epomophorus_gambianus",0.397235330709312,0.000273096147435944,0.0633492795096365,0.0256871967520497,0.0256871967520489,0.0256871967520494,0.575491962516992,0.000663233500916357,0.000449287210297397,0.0256871967520533,0.025687196752048,0.00579570274918751,0.000449287210300585,0.157340786117766,0.000273096147436397,0.000663233500915226,0.167222791475528,0.0256871967520481,0.0256871967520471,0.000273096147435955,0.025687196752045,0.112321906206431,0.157340786117768,0.000663233500917085,0.298145510976081,0.0256871967520479,0.0256871967520474,0.0256871967520551,0.000273096147435436,0.000273096147434832,0.0256871967520511,0.000273096147435775,0.000663233500916596,0.000449287210297428,0.000449287210301129,0.352343752357889,0.0256871967520433,0.0878984176266386,0.02568719675205,0.0256871967520501,0.0716502599237917,0.000449287210301328,0.0256871967520497,0.0256871967520466,0.000273096147435966,0.0149383102899967,0.152580851334265,0.0264491853062111,0.000449287210297784,0.0240051688003042,0.000449287210297669,0.0256871967520444,0.0256871967520533,0.0856589706855359,0.0256871967520424,0.000273096147436237,0.0716502599237924,0.000449287210301895,0.00579570274918775,0.0256871967520452,0.00579570274918797,0.000449287210301408,0.000449287210298054,0.025687196752045,0.0256871967520424,0.00232131725320764,0.000449287210301352,0.0333889677303198,0.0256871967520488,0.000273096147435653,0.000449287210297402,0.000273096147435966
"Epomops_franqueti",0.205812107466155,0.000184204255810727,0.0725764276959226,0.0361153879947444,0.0361153879947469,0.0361153879947452,0.428473942354536,0.000447353192697516,0.000303045711180809,0.0361153879947505,0.0361153879947421,0.00342874692095494,0.000303045711183901,0.102607247295162,0.000184204255814213,0.000447353192697265,0.305257202865884,0.0361153879947439,0.0361153879947393,0.000184204255813951,0.0361153879947426,0.0850237215849808,0.102607247295164,0.000447353192698579,0.138985574436636,0.0361153879947417,0.0361153879947413,0.0361153879947497,0.000184204255813164,0.000184204255812902,0.0361153879947463,0.0001842042558137,0.000447353192698362,0.000303045711180997,0.000303045711183901,0.213958040396436,0.0361153879947392,0.264486172535569,0.0361153879947459,0.0361153879947454,0.0335391566299904,0.000303045711184206,0.0361153879947445,0.0361153879947441,0.000184204255813842,0.0145228541125532,0.261146040943577,0.0349020675463942,0.000303045711181287,0.00828524030899616,0.000303045711181066,0.0361153879947397,0.0361153879947508,0.229588893356854,0.0361153879947407,0.000184204255813989,0.0335391566299918,0.000303045711184826,0.00342874692095521,0.03611538799474,0.00342874692095546,0.000303045711184044,0.000303045711181413,0.0361153879947414,0.0361153879947388,0.00156573617444461,0.00030304571118411,0.0552519230432606,0.0361153879947469,0.000184204255813403,0.000303045711180876,0.000184204255813594
"Hypsignathus_monstrosus",0.142284534551801,0.000199268272292896,0.0471618402798815,0.0263567441419646,0.0263567441419669,0.0263567441419673,0.225589717178071,0.00048393723270935,0.000327828447962807,0.0263567441419689,0.0263567441419629,0.00429346725898456,0.000327828447966396,0.0596623851785858,0.000199268272290237,0.000483937232709257,0.316938206473716,0.0263567441419652,0.0263567441419594,0.000199268272290801,0.0263567441419658,0.0822231705539549,0.0596623851785888,0.000483937232709848,0.416899473156414,0.0263567441419609,0.0263567441419632,0.0263567441419707,0.000199268272290046,0.00019926827228977,0.026356744141966,0.000199268272290432,0.000483937232709734,0.000327828447963698,0.000327828447966532,0.17039675722306,0.0263567441419598,0.274649250736143,0.0263567441419657,0.026356744141965,0.0997457165556649,0.000327828447966542,0.0263567441419659,0.0263567441419652,0.000199268272290676,0.0158232129534517,0.0884270415749032,0.0260277843628498,0.000327828447963551,0.0130572149338564,0.000327828447963539,0.0263567441419624,0.0263567441419703,0.0754648261402695,0.026356744141962,0.000199268272291598,0.0997457165556664,0.000327828447966954,0.00429346725898446,0.0263567441419621,0.00429346725898459,0.00032782844796643,0.00032782844796345,0.0263567441419639,0.0263567441419603,0.00169378031448147,0.000327828447966242,0.0289331890686822,0.0263567441419662,0.000199268272291112,0.000327828447963157,0.00019926827229139
"Micropteropus_pusillus",0.341861600474185,0.000195940943051264,0.0158890446650676,0.0207065556856794,0.020706555685681,0.0207065556856795,0.503225418902465,0.000475856575982466,0.000322354454697731,0.0207065556856835,0.0207065556856776,0.00467568780751559,0.000322354454699588,0.136626712418672,0.000195940943051425,0.000475856575981573,0.247088967260615,0.0207065556856794,0.0207065556856751,0.000195940943051545,0.0207065556856758,0.052124249283907,0.136626712418674,0.00047585657598326,0.102479818913319,0.0207065556856785,0.0207065556856787,0.0207065556856858,0.000195940943050341,0.000195940943050171,0.0207065556856805,0.000195940943050946,0.00047585657598302,0.000322354454697704,0.000322354454699907,0.245726121209417,0.0207065556856735,0.0490153271400408,0.0207065556856809,0.0207065556856799,0.024875813460104,0.00032235445470029,0.0207065556856796,0.0207065556856778,0.000195940943051073,0.0201281845221431,0.0770501182067166,0.0182140274607347,0.000322354454697919,0.0115381700728401,0.00032235445469772,0.0207065556856749,0.0207065556856846,0.170397206093344,0.0207065556856737,0.000195940943051426,0.024875813460105,0.000322354454700716,0.00467568780751579,0.0207065556856749,0.00467568780751589,0.000322354454700183,0.000322354454698194,0.0207065556856739,0.020706555685673,0.00166549801593843,0.000322354454700204,-0.00368700900352343,0.0207065556856798,0.000195940943050941,0.000322354454697525,0.0001959409430513
"Miniopterus_inflatus",0.528874465051605,0.000137570700956868,0.0278860066772577,0.0120317567188631,0.0120317567188615,0.0120317567188618,0.209493048120244,0.000334100273711094,0.000226325991870297,0.0120317567188646,0.0120317567188578,2.56403602676078e-05,0.000226325991871785,0.119317860374429,0.000137570700945926,0.000334100273710463,0.0117948520054704,0.012031756718861,0.0120317567188594,0.000137570700946254,0.012031756718858,0.0602909882468393,0.119317860374434,0.000334100273710481,-0.00208749422737206,0.0120317567188579,0.0120317567188596,0.0120317567188626,0.000137570700946676,0.000137570700945795,0.0120317567188591,0.000137570700946335,0.000334100273710744,0.000226325991870856,0.000226325991872137,0.103752581008161,0.0120317567188578,0.191443035594444,0.0120317567188602,0.012031756718859,-0.000162922161381051,0.000226325991871964,0.0120317567188634,0.0120317567188567,0.000137570700946622,-0.00202293782947022,0.017034405160402,0.0119299571502625,0.000226325991870579,0.000804327273807183,0.000226325991869765,0.0120317567188617,0.0120317567188621,0.0513895003766308,0.0120317567188578,0.000137570700947943,-0.000162922161380944,0.000226325991872172,2.56403602679356e-05,0.0120317567188573,2.5640360267776e-05,0.000226325991871258,0.000226325991869738,0.0120317567188565,0.0120317567188606,0.00116935095797427,0.000226325991871384,0.0308155861663534,0.0120317567188633,0.000137570700948285,0.000226325991868918,0.00013757070094828
"Miniopterus_schreibersii",0.577918090740919,0.000201048351967697,0.0899080289111569,0.0257961831674384,0.0257961831674377,0.0257961831674358,0.435827837765467,0.000488260283323222,0.000330756966123265,0.025796183167438,0.0257961831674367,0.000575875936074407,0.000330756966125217,0.163838164789738,0.000201048351960348,0.000488260283322017,0.0301123373872985,0.025796183167435,0.0257961831674349,0.000201048351960377,0.0257961831674342,0.285076418576842,0.163838164789741,0.000488260283323614,0.00444206829740075,0.0257961831674343,0.0257961831674356,0.0257961831674378,0.000201048351960463,0.000201048351959835,0.0257961831674351,0.000201048351960382,0.000488260283323493,0.000330756966123454,0.000330756966125835,0.282601917437819,0.0257961831674321,0.0563985529756036,0.0257961831674381,0.0257961831674364,0.00154589559222555,0.00033075696612587,0.0257961831674378,0.0257961831674312,0.000201048351960917,0.00129333615662677,0.0316653033395221,0.0258849069813651,0.000330756966123147,0.000802277393148919,0.000330756966122949,0.0257961831674331,0.0257961831674371,0.250512530015688,0.0257961831674303,0.000201048351961476,0.00154589559222578,0.000330756966125996,0.000575875936074505,0.0257961831674322,0.000575875936074452,0.000330756966125106,0.000330756966122759,0.0257961831674302,0.0257961831674341,0.0017089109916255,0.000330756966125319,0.0343882408502619,0.0257961831674387,0.000201048351961889,0.000330756966122392,0.000201048351961735
"Mops_condylurus",0.397334330596842,0.000141121953935645,0.0877534149334535,0.0153775990407143,0.0153775990407116,0.0153775990407131,0.347976932687282,0.00034272474525669,0.000232168375819657,0.0153775990407152,0.0153775990407102,-0.00050927317316377,0.000232168375821279,0.120443662453903,0.000141121953932063,0.000342724745255864,0.0207653313029265,0.0153775990407116,0.0153775990407127,0.000141121953931931,0.0153775990407057,0.119684274830204,0.120443662453908,0.000342724745256923,-0.00443209103217177,0.015377599040712,0.0153775990407117,0.0153775990407159,0.000141121953931762,0.000141121953931096,0.0153775990407125,0.000141121953931677,0.000342724745256643,0.000232168375819567,0.000232168375821458,0.245961721958272,0.0153775990407087,0.0129441610423514,0.0153775990407118,0.0153775990407112,-0.000712535024310621,0.00023216837582156,0.0153775990407154,0.0153775990407083,0.000141121953931922,-0.00543921467655006,0.111947640137801,0.0139705289245074,0.00023216837581989,0.000333003899689302,0.000232168375819369,0.0153775990407111,0.0153775990407144,0.0157662595642338,0.015377599040706,0.000141121953932548,-0.000712535024310392,0.000232168375821995,-0.00050927317316359,0.0153775990407088,-0.000509273173163743,0.000232168375821308,0.000232168375819637,0.0153775990407067,0.0153775990407102,0.00119953660839417,0.00023216837582147,0.0187019028938691,0.0153775990407117,0.000141121953932458,0.00023216837581865,0.000141121953932574
"Myonycteris_torquata",0.230733101149415,0.000157144563378983,0.0260780238442726,0.0166593163553154,0.0166593163553156,0.016659316355315,0.405019976780167,0.000381636796782132,0.000258528152658677,0.0166593163553186,0.0166593163553131,0.00712225220096258,0.000258528152660331,0.102799347173556,0.000157144563379966,0.000381636796781453,0.244507260805825,0.0166593163553151,0.0166593163553119,0.000157144563380064,0.0166593163553118,0.0681997355223511,0.102799347173559,0.000381636796782897,0.0962596443262717,0.0166593163553145,0.0166593163553148,0.0166593163553231,0.000157144563378918,0.000157144563378889,0.0166593163553169,0.000157144563379545,0.000381636796782689,0.00025852815265867,0.000258528152660232,0.155161532655901,0.0166593163553102,0.0400060151619902,0.0166593163553151,0.0166593163553159,0.0233005997316073,0.00025852815266059,0.0166593163553159,0.0166593163553142,0.000157144563379595,0.029162611319395,0.0771000383303881,0.0124738548631888,0.00025852815265888,0.020514729981048,0.000258528152658588,0.016659316355312,0.0166593163553202,0.0656261083237112,0.0166593163553099,0.000157144563380007,0.0233005997316081,0.000258528152661132,0.00712225220096277,0.0166593163553109,0.00712225220096274,0.000258528152660659,0.000258528152659187,0.0166593163553103,0.0166593163553094,0.00133572878873839,0.000258528152660709,0.0122677061400055,0.0166593163553136,0.000157144563379251,0.000258528152658395,0.000157144563379661
"Rhinolophus_eloquens",0.368376672917226,0.00015764498046638,-0.0147813267118538,0.00607463499597287,0.00607463499596911,0.00607463499596847,0.447521828002423,0.000382852095413863,0.000259351419474471,0.0060746349959716,0.00607463499596613,0.00129282692143254,0.000259351419475618,0.131855883825867,0.000157644980467911,0.000382852095412812,0.00348828748078929,0.00607463499597072,0.00607463499596921,0.000157644980466783,0.00607463499596561,0.0046480348335987,0.131855883825871,0.000382852095413291,0.0451609451221394,0.00607463499597051,0.00607463499597095,0.00607463499597448,0.000157644980466555,0.000157644980465906,0.00607463499596928,0.000157644980466584,0.00038285209541376,0.000259351419474374,0.000259351419475412,0.0462457934436579,0.00607463499596916,0.0860763212830178,0.00607463499597066,0.00607463499596911,0.0111354580768715,0.000259351419475735,0.00607463499597337,0.00607463499596724,0.000157644980466201,0.00718809796703712,0.0135591074860693,0.00592238806763653,0.000259351419474814,0.000512277066533839,0.000259351419473851,0.00607463499597111,0.00607463499597294,0.0087861847710325,0.00607463499596688,0.000157644980466852,0.0111354580768723,0.000259351419476516,0.00129282692143235,0.00607463499596508,0.00129282692143212,0.000259351419475911,0.000259351419474277,0.00607463499596348,0.00607463499596981,0.00133998233394335,0.000259351419476164,0.100796827374902,0.00607463499596988,0.000157644980466274,0.000259351419473457,0.000157644980466347
