"","Alphacoronavirus","Alphapapillomavirus","Alphavirus","Aphthovirus","Asfivirus","Atadenovirus","Betacoronavirus","Betaretrovirus","Capripoxvirus","Cardiovirus","Circovirus","Coltivirus","Cytomegalovirus","Deltacoronavirus","Deltapapillomavirus","Deltaretrovirus","Ebolavirus","Enterovirus","Ephemerovirus","Epsilonpapillomavirus","Erbovirus","Flavivirus","Gammacoronavirus","Gammaretrovirus","Henipavirus","Hepacivirus","Hepatovirus","Ictalurivirus","Iotapapillomavirus","Kappapapillomavirus","Lagovirus","Lambdapapillomavirus","Lentivirus","Leporipoxvirus","Lymphocryptovirus","Lyssavirus","Mamastrovirus","Marburgvirus","Mastadenovirus","Metapneumovirus","Morbillivirus","Muromegalovirus","Norovirus","Nucleorhabdovirus","Omikronpapillomavirus","Orbivirus","Orthobunyavirus","Orthohepadnavirus","Orthopoxvirus","Orthoreovirus","Parapoxvirus","Parechovirus","Pestivirus","Phlebovirus","Picobirnavirus","Pipapillomavirus","Respirovirus","Rhadinovirus","Rotavirus","Sapovirus","Seadornavirus","Simplexvirus","Suipoxvirus","Teschovirus","Thogotovirus","Torovirus","Varicellovirus","Vesiculovirus","Vesivirus","Xipapillomavirus","Yatapoxvirus","Zetapapillomavirus"
"Eidolon_helvum",0.335121891429603,0.000281814710321345,0.0368538957803905,0.032780108190636,0.032780108190635,0.0327801081906356,0.229615501573645,0.000684407153618088,0.000463630652450252,0.0327801081906342,0.0327801081906374,0.0523686473229402,0.000463630652452921,0.0915503069432998,0.000281814710313699,0.000684407153617345,0.237679210261854,0.0327801081906319,0.0327801081906353,0.000281814710315268,0.0327801081906328,0.372778974953974,0.0915503069433008,0.000684407153618945,0.383905521196538,0.0327801081906338,0.032780108190631,0.0327801081906372,0.000281814710314938,0.000281814710314246,0.0327801081906358,0.000281814710314862,0.000684407153618179,0.000463630652451011,0.00046363065245347,0.336176195204352,0.0327801081906288,-0.00126827299847644,0.0327801081906341,0.0327801081906341,0.0920904836289837,0.000463630652453017,0.0327801081906341,0.0327801081906332,0.000281814710315575,0.332674815499449,0.314326842654003,0.0329672261808783,0.000463630652450912,0.0415049351805421,0.000463630652451633,0.0327801081906302,0.0327801081906379,0.013616396198648,0.0327801081906289,0.000281814710316181,0.0920904836289839,0.000463630652453347,0.0523686473229411,0.0327801081906375,0.0523686473229427,0.00046363065245249,0.000463630652451092,0.0327801081906358,0.03278010819063,0.00239542503765501,0.000463630652452533,0.0373155873637975,0.0327801081906332,0.000281814710316421,0.000463630652451193,0.000281814710316393
"Epomophorus_gambianus",0.294749675563721,0.000153084029786901,0.0396490574890727,0.0116094194174949,0.0116094194174935,0.0116094194174931,0.448307149065515,0.000371775500916208,0.000251847919975565,0.011609419417498,0.0116094194174922,-0.00439144213096445,0.000251847919976947,0.120099722860174,0.000153084029790311,0.000371775500915456,0.0204596402260297,0.0116094194174939,0.0116094194174952,0.000153084029789253,0.0116094194174891,0.0106491589829084,0.120099722860175,0.000371775500916672,0.0769405542933772,0.0116094194174952,0.0116094194174939,0.011609419417499,0.00015308402978916,0.000153084029788744,0.0116094194174967,0.000153084029789307,0.00037177550091634,0.00025184791997509,0.000251847919977111,0.181260291196351,0.0116094194174925,0.0147315353601079,0.0116094194174944,0.0116094194174955,0.0186909550945761,0.000251847919977474,0.0116094194174949,0.011609419417493,0.00015308402978935,-0.0310136781425112,0.138083620444213,0.0145754068766607,0.000251847919975628,-0.00216616230428343,0.00025184791997533,0.0116094194174924,0.0116094194174965,0.0363653921987939,0.0116094194174902,0.000153084029789139,0.0186909550945761,0.000251847919977878,-0.00439144213096412,0.0116094194174906,-0.00439144213096439,0.000251847919977625,0.000251847919975998,0.0116094194174904,0.0116094194174898,0.00130121425320813,0.000251847919977701,0.0325819395401373,0.0116094194174935,0.000153084029788538,0.000251847919975246,0.000153084029788791
"Epomops_franqueti",-0.0112676426157405,1.48560229430972e-06,0.0513600531053649,0.027132215615586,0.0271322156155903,0.0271322156155864,0.162065241210899,3.607891309586e-06,2.44405540246084e-06,0.0271322156155931,0.0271322156155826,-0.00975903816041688,2.44405540359573e-06,0.0243246373771996,1.48560230144539e-06,3.60789131028257e-06,0.231482955832088,0.0271322156155871,0.0271322156155822,1.48560230080475e-06,0.0271322156155853,-0.0597206895274091,0.0243246373772006,3.60789131046939e-06,-0.16919482992232,0.0271322156155848,0.0271322156155838,0.0271322156155894,1.48560230033202e-06,1.48560230043027e-06,0.0271322156155885,1.48560230074526e-06,3.60789131059314e-06,2.4440554023533e-06,2.44405540297886e-06,-0.045425693763282,0.0271322156155857,0.303752958005627,0.0271322156155874,0.0271322156155876,-0.0402808754235297,2.44405540342775e-06,0.0271322156155863,0.0271322156155887,1.48560230072319e-06,-0.032854478390217,0.295622989643311,0.0257184066898058,2.44405540270517e-06,-0.0374257495082806,2.44405540223875e-06,0.0271322156155846,0.0271322156155922,0.268573645556442,0.0271322156155874,1.4856023003916e-06,-0.0402808754235287,2.44405540386628e-06,-0.00975903816041632,0.0271322156155824,-0.00975903816041647,2.4440554031469e-06,2.44405540277422e-06,0.0271322156155846,0.027132215615584,1.26276195882067e-05,2.44405540338696e-06,0.0735997202924046,0.0271322156155905,1.4856022999247e-06,2.44405540223701e-06,1.48560229993485e-06
"Hypsignathus_monstrosus",-0.132988312719764,3.03438436811768e-05,0.000704662233998904,0.010498836564869,0.0104988365648731,0.0104988365648726,-0.186398868480096,7.36921917938363e-05,4.99205170203679e-05,0.0104988365648732,0.0104988365648666,-0.00798589421396313,4.9920517022408e-05,-0.0514641409668304,3.03438436780878e-05,7.36921917948463e-05,0.258538791827777,0.0104988365648719,0.0104988365648648,3.03438436788444e-05,0.0104988365648738,-0.0621657268837843,-0.051464140966828,7.3692191793753e-05,0.326839343077599,0.010498836564866,0.0104988365648697,0.0104988365648735,3.03438436784009e-05,3.03438436784846e-05,0.0104988365648705,3.03438436785613e-05,7.36921917940694e-05,4.99205170214934e-05,4.99205170220013e-05,-0.13050699132476,0.0104988365648695,0.328309257101229,0.01049883656487,0.0104988365648694,0.0778925834007467,4.99205170219441e-05,0.0104988365648713,0.0104988365648733,3.03438436787074e-05,-0.0304829295387399,0.0010938653665101,0.0110099618955981,4.99205170210963e-05,-0.0273250160073319,4.99205170210088e-05,0.0104988365648718,0.010498836564874,0.0145800176843736,0.0104988365648725,3.03438436796801e-05,0.0778925834007481,4.9920517022033e-05,-0.00798589421396315,0.0104988365648686,-0.00798589421396353,4.99205170217707e-05,4.99205170207655e-05,0.0104988365648717,0.0104988365648695,0.000257922671275497,4.99205170215611e-05,0.0211775579310242,0.0104988365648723,3.03438436793805e-05,4.99205170206934e-05,3.03438436795389e-05
"Micropteropus_pusillus",0.17545610051025,5.84625667612735e-06,-0.0660827162616103,-0.00315745686207223,-0.00315745686207013,-0.00315745686207376,0.293888006697535,1.41980519327288e-05,9.6180351816904e-06,-0.00315745686206867,-0.00315745686207569,-0.00679043380456134,9.61803518041328e-06,0.0757102804880461,5.84625667920127e-06,1.41980519324048e-05,0.118365394317665,-0.00315745686207046,-0.00315745686207482,5.84625667896164e-06,-0.00315745686207647,-0.122595263123393,0.0757102804880479,1.41980519331161e-05,-0.252842262596151,-0.00315745686207026,-0.00315745686207022,-0.00315745686206693,5.8462566777423e-06,5.84625667806603e-06,-0.00315745686207127,5.84625667829162e-06,1.41980519332538e-05,9.6180351810916e-06,9.61803518013562e-06,-0.0514123949197925,-0.00315745686207338,-0.0726984887008981,-0.00315745686207134,-0.0031574568620718,-0.0601863406614387,9.61803518080932e-06,-0.00315745686207168,-0.00315745686207181,5.84625667816289e-06,-0.0200415605951553,-0.0260933338645323,-0.0071585409314527,9.6180351814312e-06,-0.0289091946158099,9.61803518090025e-06,-0.00315745686207291,-0.00315745686206844,0.145131456126258,-0.00315745686207397,5.8462566780655e-06,-0.0601863406614384,9.61803518098857e-06,-0.00679043380456068,-0.00315745686207682,-0.0067904338045613,9.61803518075681e-06,9.61803518177514e-06,-0.00315745686207851,-0.00315745686207549,4.96931817642339e-05,9.61803518094259e-06,-0.0507604240400638,-0.00315745686207198,5.84625667763264e-06,9.61803518093564e-06,5.8462566779474e-06
"Miniopterus_inflatus",0.386340461287352,6.74445178501396e-05,-0.0996192102569015,-0.00517602147564479,-0.00517602147564499,-0.00517602147564693,0.179248794898091,0.000163793829035954,0.000110957109993715,-0.00517602147564313,-0.00517602147565187,0.000734681512918438,0.000110957109993668,0.0913350306882904,6.74445178442623e-05,0.000163793829035622,-0.028249229357332,-0.005176021475645,-0.00517602147564808,6.74445178439808e-05,-0.00517602147564993,-0.122821310786345,0.0913350306882949,0.000163793829034874,-0.0954667465069925,-0.00517602147564859,-0.00517602147564713,-0.00517602147564643,6.7444517844166e-05,6.74445178434876e-05,-0.00517602147564852,6.74445178438725e-05,0.000163793829035619,0.000110957109994005,0.000110957109993757,-0.101298180734818,-0.00517602147564709,0.174915017042505,-0.00517602147564683,-0.00517602147564861,-0.0225663839107283,0.000110957109993709,-0.00517602147564508,-0.00517602147564939,6.74445178437231e-05,0.00761068985919183,-0.0305590263046278,-0.00687965181635866,0.000110957109994015,-0.00300891704813315,0.000110957109992902,-0.00517602147564374,-0.00517602147564536,0.0267118143214711,-0.00517602147564605,6.74445178447491e-05,-0.0225663839107281,0.000110957109993989,0.000734681512919005,-0.00517602147565011,0.000734681512918695,0.000110957109993376,0.000110957109993153,-0.00517602147565071,-0.00517602147564533,0.000573278401611627,0.000110957109993531,-0.0313162624623277,-0.00517602147564363,6.74445178447788e-05,0.000110957109992406,6.74445178449119e-05
"Miniopterus_schreibersii",0.467291913315042,0.000168133458872868,0.0351346409626596,0.0177202028632973,0.0177202028632989,0.0177202028632938,0.523701082583121,0.000408324114398626,0.000276606658142054,0.0177202028632964,0.0177202028632964,0.00179762956895188,0.000276606658142956,0.160114186641719,0.000168133458872117,0.000408324114397419,0.00525935308607764,0.0177202028632955,0.0177202028632944,0.000168133458871379,0.0177202028632945,0.241156547630259,0.160114186641721,0.000408324114399063,-0.082646872702401,0.017720202863295,0.0177202028632963,0.0177202028632958,0.000168133458871103,0.000168133458870872,0.017720202863295,0.000168133458871198,0.000408324114399273,0.000276606658141702,0.000276606658143415,0.15392512443519,0.0177202028632941,0.0016977510085512,0.0177202028632994,0.0177202028632966,-0.0192695027195086,0.000276606658143639,0.0177202028632959,0.0177202028632921,0.000168133458871512,0.0144035854251146,-0.00645120969211191,0.0165169453088149,0.000276606658141604,-0.00317561380913747,0.000276606658141494,0.0177202028632926,0.0177202028632965,0.329980142594455,0.0177202028632921,0.000168133458871426,-0.0192695027195083,0.000276606658143759,0.00179762956895204,0.0177202028632914,0.0017976295689518,0.000276606658143186,0.000276606658141438,0.0177202028632899,0.0177202028632946,0.00142913440039533,0.000276606658143436,-0.0311416957833935,0.0177202028632987,0.000168133458871552,0.000276606658141431,0.000168133458871452
"Mops_condylurus",0.325015675492653,6.71767463881798e-05,-0.0791956519433008,-0.00403400924061239,-0.00403400924061543,-0.00403400924061627,0.238043987855086,0.000163143526925384,0.000110516582757264,-0.00403400924061258,-0.00403400924062112,-0.000164984203063842,0.00011051658275691,0.0909265913162608,6.71767463856893e-05,0.000163143526924962,-0.0100815994129523,-0.00403400924061499,-0.0040340092406157,6.71767463854429e-05,-0.00403400924062347,-0.0584568617832907,0.0909265913162648,0.000163143526924999,-0.095839085751869,-0.00403400924061407,-0.0040340092406157,-0.00403400924061246,6.71767463850774e-05,6.71767463845676e-05,-0.0040340092406154,6.71767463849123e-05,0.000163143526925075,0.000110516582757275,0.000110516582756871,0.00821203960990127,-0.00403400924061697,-0.0317307838851964,-0.00403400924061625,-0.00403400924061686,-0.0226556864139994,0.000110516582757069,-0.00403400924061276,-0.00403400924061763,6.71767463850156e-05,0.000681809708862223,0.0788783205679808,-0.00892911607119831,0.000110516582757695,-0.00255489878401268,0.000110516582756784,-0.00403400924061422,-0.00403400924061292,-0.0131268799472539,-0.00403400924061784,6.71767463854742e-05,-0.0226556864139992,0.000110516582757341,-0.000164984203062908,-0.00403400924061916,-0.000164984203063459,0.000110516582756971,0.000110516582757408,-0.00403400924062161,-0.00403400924061634,0.000571002344228977,0.000110516582757216,-0.056489859902308,-0.00403400924061529,6.71767463853212e-05,0.000110516582756256,6.71767463855458e-05
"Myonycteris_torquata",0.0793615315372384,-2.53124272450948e-05,-0.0616126723105411,-0.00553675778910497,-0.00553675778910425,-0.0055367577891072,0.240978957212773,-6.14730375836122e-05,-4.16430254586362e-05,-0.00553675778910146,-0.00553675778910927,-0.00507162251093912,-4.16430254600225e-05,0.0516261777406671,-2.53124272398483e-05,-6.14730375837651e-05,0.0986079893919979,-0.00553675778910359,-0.00553675778910629,-2.53124272404152e-05,-0.00553675778910979,-0.134912802517332,0.0516261777406687,-6.14730375832371e-05,-0.273415124857703,-0.00553675778910277,-0.00553675778910316,-0.00553675778909819,-2.5312427241455e-05,-2.53124272411117e-05,-0.00553675778910313,-2.5312427240924e-05,-6.14730375831253e-05,-4.16430254592952e-05,-4.16430254606734e-05,-0.113223817392007,-0.00553675778910527,-0.0584630522829455,-0.00553675778910568,-0.00553675778910398,-0.0651603122894198,-4.16430254599815e-05,-0.00553675778910418,-0.00553675778910422,-2.53124272412191e-05,-0.0143673596098361,0.0133480786978725,-0.0137198922034752,-4.16430254588523e-05,-0.0218901357110792,-4.16430254595826e-05,-0.0055367577891045,-0.00553675778910138,0.0507727448051333,-0.00553675778910661,-2.53124272413325e-05,-0.0651603122894197,-4.1643025459603e-05,-0.00507162251093841,-0.00553675778910981,-0.0050716225109392,-4.16430254598172e-05,-4.16430254584328e-05,-0.00553675778911119,-0.00553675778910817,-0.000215155631541587,-4.16430254595468e-05,-0.0141895681313038,-0.00553675778910631,-2.53124272421443e-05,-4.16430254595013e-05,-2.53124272417653e-05
"Rhinolophus_eloquens",0.223704473790442,2.85516627541904e-05,-0.179528190700049,-0.00897202797961228,-0.00897202797961647,-0.00897202797961809,0.0421066078903851,6.93397523802316e-05,4.69720903228103e-05,-0.00897202797961464,-0.00897202797962393,0.00436388553365122,4.69720903223151e-05,0.0429197272001299,2.85516627501547e-05,6.9339752380163e-05,-0.0355573238069998,-0.00897202797961548,-0.00897202797961936,2.85516627503397e-05,-0.00897202797962479,-0.163262166419787,0.042919727200135,6.93397523792738e-05,-0.0468253297591304,-0.0089720279796162,-0.00897202797961642,-0.0089720279796154,2.85516627499479e-05,2.85516627491222e-05,-0.00897202797961887,2.85516627497307e-05,6.93397523796321e-05,4.69720903238065e-05,4.69720903221453e-05,-0.0178323721299857,-0.008972027979618,0.0370503611498446,-0.00897202797961639,-0.00897202797961915,-0.0110795482855127,4.6972090322399e-05,-0.00897202797961332,-0.00897202797962004,2.85516627493771e-05,0.0333778150268603,0.013532863338325,-0.0113528827873338,4.69720903239654e-05,-0.00224906614457306,4.69720903226734e-05,-0.00897202797961411,-0.00897202797961359,0.00214185096659266,-0.00897202797961712,2.85516627503035e-05,-0.0110795482855123,4.69720903227634e-05,0.00436388553365216,-0.00897202797962,0.00436388553365181,4.69720903222261e-05,4.69720903230876e-05,-0.00897202797962313,-0.00897202797961552,0.000242689133315654,4.69720903224449e-05,-0.0241029473110802,-0.00897202797961364,2.85516627504146e-05,4.6972090322013e-05,2.85516627504213e-05
