"Sp","Betacov","R.Alb","R.Car3","R.Dal1","R.Far1","R.Gut1","R.Po2","R.Po3","R.Stock1","P.Alb","P.Car3","P.Dal1","P.Far1","P.Gut1","P.Po2","P.Po3","P.Stock1","InSample","Rank","PropRank"
"Cynopterus sphinx",1,0.0123329907502569,0.0116487455197133,0.00732600732600733,0.036101083032491,0.00448028673835125,0.0412371134020619,0.0472972972972973,0.0360531309297913,0.263916666666667,0.592842627844565,1.69327265363296,0.527143176798633,0.971878922630298,0.8,0.36825045458139,0.47600500122403,1,12.0625,0.0245595818744963
"Rousettus aegyptiacus",1,0.0503597122302158,0.000896057347670251,0.139194139194139,0.0036101083032491,0.017921146953405,0.0412371134020619,0.0045045045045045,0.0123339658444023,0.239,0.721134550709848,1.04891401868929,0.665737361922389,0.957876353577095,0.8,0.434184520515456,0.537316303076717,1,16.125,0.033757093472456
"Eonycteris spelaea",1,0.0210688591983556,0.0197132616487455,0.0622710622710623,0.0433212996389892,0.00268817204301075,0.0412371134020619,0.0472972972972973,0.0398481973434535,0.253583333333333,0.553440075965884,1.32164658613906,0.52010494290549,0.974150982860989,0.8,0.36825045458139,0.468544800053809,1,16.625,0.034680657855372
"Eidolon helvum",1,0.0647482014388489,0.0017921146953405,0.146520146520147,0.0108303249097473,0.00716845878136201,0.00687285223367698,0.0045045045045045,0.0939278937381404,0.236,0.66766454307997,1.02715120162139,0.640910940249868,0.967559494358722,1,0.434184520515456,0.416770149457242,1,27.125,0.0420455621027209
"Rousettus leschenaultii",1,0.0143884892086331,0.00716845878136201,0.26007326007326,0.0072202166064982,0.0017921146953405,0.0412371134020619,0.0045045045045045,0.00284629981024668,0.261166666666667,0.62000117356446,0.752899868602642,0.663786822059393,0.981554650051601,0.8,0.434184520515456,0.663555303358833,1,13.375,0.0424038071352384
"Cynopterus brachyotis",1,0.0226104830421377,0.017921146953405,0.106227106227106,0.0902527075812274,0.0268817204301075,0.151202749140893,0.0900900900900901,0.032258064516129,0.252666666666667,0.557451758285554,1.12099791894895,0.463848176015661,0.950902460626486,0.6,0.346272432603368,0.480514955861175,1,25.25,0.0671805084976371
"Rhinolophus ferrumequinum",1,0.0416238437821172,0.043010752688172,0.0879120879120879,0.0505415162454874,0.0842293906810036,0.151202749140893,0.0900900900900901,0.00094876660341556,0.242,0.50845557445611,1.21781946451638,0.515608611442366,0.920291202005838,0.6,0.346272432603368,0.685205383193666,1,32.9375,0.0686948996429084
"Epomophorus gambianus",1,0.105858170606372,0.00268817204301075,0.179487179487179,0.075812274368231,0.0116487455197133,0.151202749140893,0.0900900900900901,0.0351043643263757,0.225916666666667,0.643972563032188,0.961625484536594,0.482825272490222,0.960720450481757,0.6,0.346272432603368,0.477120898940405,1,33.5,0.0814864681977332
"Pipistrellus pipistrellus",1,0.0334018499486125,0.0645161290322581,0.00366300366300366,0.0794223826714801,0.0985663082437276,0.151202749140893,0.0900900900900901,0.186907020872865,0.247,0.479552658425863,1.79473331365288,0.469827264015701,0.913084469333687,0.6,0.346272432603368,0.352069999103706,1,59.5625,0.0884711917078664
"Pteropus giganteus",1,0.108941418293936,0.025089605734767,0.179487179487179,0.0866425992779783,0.0492831541218638,0.151202749140893,0.0900900900900901,0.154648956356736,0.225333333333333,0.537875907525887,0.961625484536594,0.467359459359796,0.939129470686367,0.6,0.346272432603368,0.370414642665118,1,58.375,0.105673219062931
"Hipposideros pomona",1,0.107399794450154,0.129928315412186,0.1996336996337,0.122743682310469,0.0681003584229391,0.151202749140893,0.0900900900900901,0.0483870967741935,0.2255,0.409014110469145,0.878539773896853,0.452547886103591,0.929996022177143,0.6,0.346272432603368,0.45606274917227,1,63.375,0.114685723279328
"Hipposideros armiger",1,0.0698869475847893,0.10573476702509,0.1996336996337,0.11913357400722,0.0313620071684588,0.151202749140893,0.0900900900900901,0.166982922201139,0.233916666666667,0.429281444235757,0.878539773896853,0.453723517227268,0.948102004368818,0.6,0.346272432603368,0.36414935581431,1,65.8125,0.116753344606422
"Micropteropus pusillus",1,0.0601233299075026,0.003584229390681,0.340659340659341,0.0324909747292419,0.00985663082437276,0.36426116838488,0.0472972972972973,0.0768500948766603,0.236416666666667,0.63522450562354,0.734424196321501,0.537425295012293,0.961929481376458,0.4,0.36825045458139,0.427039519005554,1,40,0.116890383258747
"Miniopterus schreibersii",1,0.401336073997945,0.0224014336917563,0.0659340659340659,0.0397111913357401,0.0672043010752688,0.151202749140893,0.0472972972972973,0.252371916508539,0.181083333333333,0.545317787207346,1.31902157735351,0.521737769813767,0.930088543573695,0.6,0.36825045458139,0.31209932891191,1,102.25,0.130932378622688
"Eptesicus serotinus",1,0.026207605344296,0.0403225806451613,0.0695970695970696,0.155234657039711,0.0340501792114695,0.36426116838488,0.148648648648649,0.287476280834915,0.24975,0.513855680005993,1.30993644307536,0.400650868533266,0.946207211535572,0.4,0.324294410625346,0.28928409791122,1,69.9375,0.140724773713269
"Myotis daubentonii",1,0.113052415210689,0.0618279569892473,0.179487179487179,0.0830324909747292,0.152329749103943,0.151202749140893,0.0900900900900901,0.405123339658444,0.224833333333333,0.480992502402511,0.961625484536594,0.467385502150481,0.874630339005902,0.6,0.346272432603368,0.235894670588983,1,111.25,0.154518246331902
"Pipistrellus abramus",1,0.0724563206577595,0.0922939068100358,0.0989010989010989,0.184115523465704,0.156810035842294,0.36426116838488,0.148648648648649,0.16034155597723,0.233,0.449617342189021,1.14800318059252,0.39194635029522,0.87075521879146,0.4,0.324294410625346,0.367978320760468,1,85.1875,0.159728532335956
"Rhinolophus pusillus",1,0.0318602261048304,0.186379928315412,0.168498168498169,0.162454873646209,0.229390681003584,0.36426116838488,0.148648648648649,0.00569259962049336,0.247583333333333,0.372922618576279,1.02314766673085,0.398814236077535,0.765919025962649,0.4,0.324294410625346,0.58312432959282,1,84.75,0.162148286777778
"Chaerephon pumilus",1,0.283144912641316,0.0555555555555556,0.0805860805860806,0.115523465703971,0.168458781362007,0.36426116838488,0.0900900900900901,0.162239089184061,0.192333333333333,0.492182339153995,1.24676021715342,0.455234683728598,0.858927424685113,0.4,0.346272432603368,0.365786723969153,1,102.9375,0.164982392938495
"Rhinolophus affinis",1,0.00719424460431655,0.0976702508960574,0.553113553113553,0.133574007220217,0.0224014336917563,0.36426116838488,0.148648648648649,0.015180265654649,0.268583333333333,0.44095966140881,0.580795905515553,0.437206149118616,0.954024806524114,0.4,0.324294410625346,0.533884388950907,1,53.875,0.16775544652676
"Scotophilus kuhlii",1,0.00308324768756423,0.578853046594982,0.032967032967033,0.0252707581227437,0.482974910394265,0.0412371134020619,0.027027027027027,0.169829222011385,0.274,0.0884830280093318,1.40486017819357,0.577289757712571,0.406375004806184,0.8,0.390228476559412,0.363024372138249,1,174.375,0.170155294775883
"Pteropus lylei",1,0.156731757451182,0.0376344086021505,0.247252747252747,0.15884476534296,0.0591397849462366,0.36426116838488,0.148648648648649,0.209677419354839,0.217666666666667,0.515022781669842,0.76580799073301,0.398877696900789,0.933103645096713,0.4,0.324294410625346,0.337985109198961,1,84.875,0.172773837497955
"Pteropus alecto",1,0.369475847893114,0.28405017921147,0.0842490842490843,0.0469314079422383,0.366487455197133,0.151202749140893,0.0472972972972973,0.153700189753321,0.18375,0.270938908697888,1.21798956065423,0.518134324968753,0.543269323539478,0.6,0.36825045458139,0.370688635745056,1,164.5,0.187924276335569
"Plecotus auritus",1,0.183967112024666,0.200716845878136,0.0164835164835165,0.166064981949458,0.137096774193548,0.36426116838488,0.148648648648649,0.290322580645161,0.2115,0.360101360235585,1.56891861880574,0.395658382640633,0.884014562963062,0.4,0.324294410625346,0.287155673548819,1,124.8125,0.188445203526002
"Artibeus jamaicensis",1,0.726104830421377,0.397849462365591,0.0238095238095238,0.0180505415162455,0.173835125448029,0.0412371134020619,0.018018018018018,0.16888045540797,0.141583333333333,0.176190885487946,1.56126728465947,0.603131205655104,0.854926612406614,0.8,0.412206498537434,0.36312915853554,1,193,0.195973133798602
