"Sp","Betacov","R.Alb","R.Car3","R.Gut1","R.Stock1","P.Alb","P.Car3","P.Gut1","P.Stock1","InSample","Rank","PropRank"
"Rhinolophus marshalli",0,0.0483042137718397,0.0707885304659498,0.0170250896057348,0.0284629981024668,0.23975,0.470414046393504,0.958239931055785,0.490509049495012,0,43.75,0.0411452079864978
"Rhinolophus fumigatus",0,0.0724563206577595,0.03584229390681,0.0152329749103943,0.0825426944971537,0.233,0.519029198513643,0.959013367752882,0.423043391300139,0,53.625,0.0515185709930294
"Rhinolophus luctus",0,0.00822199383350463,0.119175627240143,0.025089605734767,0.0578747628083491,0.268,0.419069009445399,0.953230531296311,0.448599482870936,0,57.5,0.052590497404191
"Macroglossus sobrinus",0,0.0246659815005139,0.0134408602150538,0.000896057347670251,0.184060721062619,0.250833333333333,0.568323134100371,0.983634480898809,0.353481158224018,0,58.5,0.0557659050314641
"Rhinolophus trifoliatus",0,0.0513874614594039,0.122759856630824,0.03584229390681,0.0417457305502846,0.238916666666667,0.415448705550577,0.944707788716125,0.465167933802496,0,67.75,0.0629338356368307
"Rhinolophus osgoodi",0,NA,0.114695340501792,0.111111111111111,0.0170777988614801,NA,0.420789405806022,0.907456147501573,0.531813690415653,0,90,0.0809614168247944
"Rhinolophus landeri",0,0.103802672147996,0.0492831541218638,0.0519713261648745,0.121442125237192,0.226416666666667,0.502977543055368,0.937327233119231,0.392945976166728,0,85.5,0.0816248194179815
"Rhinolophus lepidus",0,0.040082219938335,0.165770609318996,0.0940860215053763,0.0294117647058824,0.242833333333333,0.38679572412188,0.915135268281978,0.489462910495269,0,90,0.0823376538671475
"Rhinolophus paradoxolophus",0,0.0971223021582734,0.0985663082437276,0.130824372759857,0.0199240986717268,0.2275,0.440201183817474,0.888852958583977,0.524165678846351,0,92.875,0.0866092704583961
"Rhinolophus yunanensis",0,0.138232271325797,0.0905017921146953,0.10752688172043,0.0113851992409867,0.22025,0.450589153359836,0.908447851290562,0.539002849861353,0,91.875,0.0869115361004772
"Sphaerias blanfordi",0,0.091983556012333,0.010752688172043,0.120967741935484,0.192599620493359,0.227916666666667,0.59812850359766,0.90131325216174,0.348511822329943,0,109.875,0.104075901653305
"Pipistrellus javanicus",0,0.00205549845837616,0.146953405017921,0.123655913978495,0.203984819734345,0.280333333333333,0.396508474914704,0.899919734159049,0.341594033646742,0,129.75,0.119162409297284
"Scotomanes ornatus",0,0.0277492291880781,0.112007168458781,0.0600358422939068,0.27988614800759,0.249666666666667,0.422828334794625,0.932141521021786,0.294256573153922,0,128.5,0.119919596987089
"Hipposideros lylei",0,0.136690647482014,0.0806451612903226,0.0331541218637993,0.24573055028463,0.220666666666667,0.46032989248014,0.947106203129343,0.317163945310056,0,129.75,0.124055120230192
"Pipistrellus ceylonicus",0,0.0416238437821172,0.14336917562724,0.0627240143369176,0.256166982922201,0.242,0.398762757187777,0.931496178842658,0.30972471971018,0,135.125,0.125971004167119
"Rhinolophus borneensis",0,0.190133607399794,0.151433691756272,0.112903225806452,0.0521821631878558,0.209333333333333,0.394410361082862,0.90612075652496,0.452757364384443,0,133.75,0.126663172037594
"Cynopterus minutus",0,0.122816032887975,0.137096774193548,0.159498207885305,0.0910815939278937,0.223,0.404248474541046,0.868881450084391,0.417164910651139,0,136.625,0.127623152223681
"Cynopterus titthaecheilus",0,0.129496402877698,0.150537634408602,0.203405017921147,0.0455407969639469,0.22225,0.394629908099386,0.812679690742191,0.460285150904574,0,142.25,0.132244963042848
"Pipistrellus rueppellii",0,0.0889003083247688,0.0268817204301075,0.0528673835125448,0.391840607210626,0.228583333333333,0.537551724207172,0.937140495169366,0.242370961511797,0,147.125,0.140122504869512
"Coelops frithii",0,0.129496402877698,0.245519713261649,0.0788530465949821,0.107210626185958,0.22225,0.306889819365838,0.922011642177655,0.403514128437308,0,150.25,0.140269947230072
"Scotonycteris zenkeri",0,0.122816032887975,0.0573476702508961,0.237455197132616,0.145161290322581,0.223,0.488282459956824,0.757221324230044,0.376412747771876,0,150.375,0.140695047648517
"Megaerops wetmorei",0,0.200924974306269,0.0896057347670251,0.154121863799283,0.126185958254269,0.208166666666667,0.452538844931524,0.874258651085925,0.390076498258785,0,150.125,0.142709632781712
"Penthetor lucasi",0,0.154676258992806,0.1415770609319,0.165770609318996,0.109108159392789,0.217916666666667,0.401203582189755,0.862490500943992,0.403300150001157,0,152.125,0.142783022159123
"Asellia tridens",0,0.403391572456321,0.0277777777777778,0.0716845878136201,0.0749525616698292,0.181,0.535717859629255,0.928396509893418,0.432553839740072,0,145.625,0.144451624929387
"Scotophilus viridis",0,0.0601233299075026,0.0636200716845878,0.0869175627240143,0.381404174573055,0.236416666666667,0.480338465857359,0.919346306085104,0.246624175398308,0,157.125,0.14801628472229
"Harpyionycteris whiteheadi",0,0.284686536485098,0.155913978494624,0.0707885304659498,0.103415559772296,0.19225,0.392211580855321,0.928722234781993,0.408163123075847,0,159.75,0.153701151304492
