"Sp","Betacov","R.Alb","Rank","PropRank","InSample"
"Myotis muricola",0,0.000238322211630124,1,0.000238322211630124,0
"Pipistrellus tenuis",0,0.000476644423260248,2,0.000476644423260248,0
"Pipistrellus javanicus",0,0.000714966634890372,3,0.000714966634890372,0
"Rhinolophus luctus",0,0.00119161105815062,5,0.00119161105815062,0
"Kerivoula hardwickii",0,0.00166825548141087,7,0.00166825548141087,0
"Myotis siligorensis",0,0.00262154432793136,11,0.00262154432793136,0
"Myotis formosus",0,0.00381315538608198,16,0.00381315538608198,0
"Kerivoula picta",0,0.00405147759771211,17,0.00405147759771211,0
"Murina cyclotis",0,0.00512392755004766,21.5,0.00512392755004766,0
"Scotomanes ornatus",0,0.00548141086749285,23,0.00548141086749285,0
"Macroglossus sobrinus",0,0.0059580552907531,25,0.0059580552907531,0
"Myotis chinensis",0,0.00738798856053384,31,0.00738798856053384,0
"Myotis montivagus",0,0.00762631077216397,32,0.00762631077216397,0
"Glischropus tylopus",0,0.00881792183031459,37,0.00881792183031459,0
"Barbastella leucomelas",0,0.00929456625357483,39,0.00929456625357483,0
"Harpiocephalus harpia",0,0.00953288846520496,40,0.00953288846520496,0
"Rhinolophus lepidus",0,0.00977121067683508,41,0.00977121067683508,0
"Myotis laniger",0,0.0100095328884652,42,0.0100095328884652,0
"Rhinolophus marshalli",0,0.0107244995233556,45,0.0107244995233556,0
"Pipistrellus ceylonicus",0,0.0109628217349857,46,0.0109628217349857,0
"Myotis altarium",0,0.0113203050524309,47.5,0.0113203050524309,0
"Pipistrellus paterculus",0,0.0121544327931363,51,0.0121544327931363,0
"Murina tubinaris",0,0.0123927550047664,52,0.0123927550047664,0
"Kerivoula papillosa",0,0.0126310772163966,53,0.0126310772163966,0
"Phoniscus jagorii",0,0.0128693994280267,54,0.0128693994280267,0
"Rhinolophus trifoliatus",0,0.0135843660629171,57,0.0135843660629171,0
"Nyctalus leisleri",0,0.0151334604385129,63.5,0.0151334604385129,0
"Sphaerias blanfordi",0,0.0151334604385129,63.5,0.0151334604385129,0
"Myotis hasseltii",0,0.0157292659675882,66,0.0157292659675882,0
"Hesperoptenus blanfordi",0,0.0159675881792183,67,0.0159675881792183,0
"Coelops frithii",0,0.0166825548141087,70,0.0166825548141087,0
"Hesperoptenus tickelli",0,0.0171591992373689,72,0.0171591992373689,0
"Harpiocephalus mordax",0,0.0177550047664442,74.5,0.0177550047664442,0
"Hipposideros ater",0,0.0181124880838894,76,0.0181124880838894,0
"Neoromicia rendalli",0,0.0183508102955195,77,0.0183508102955195,0
"Rhinolophus paradoxolophus",0,0.0187082936129647,78.5,0.0187082936129647,0
"Scotophilus viridis",0,0.0190657769304099,80,0.0190657769304099,0
"Rhinolophus shortridgei",0,0.0198999046711153,83.5,0.0198999046711153,0
"Neoromicia tenuipinnis",0,0.0202573879885605,85,0.0202573879885605,0
"Myotis bechsteinii",0,0.021091515729266,88.5,0.021091515729266,0
"Scotoecus hirundo",0,0.021091515729266,88.5,0.021091515729266,0
"Myotis rosseti",0,0.0214489990467112,90,0.0214489990467112,0
"Falsistrellus affinis",0,0.0225214489990467,94.5,0.0225214489990467,0
"Hipposideros lylei",0,0.0228789323164919,96,0.0228789323164919,0
"Murina suilla",0,0.0233555767397521,98,0.0233555767397521,0
"Myotis annectans",0,0.0233555767397521,98,0.0233555767397521,0
"Arielulus circumdatus",0,0.0238322211630124,100,0.0238322211630124,0
"Epomophorus minor",0,0.0240705433746425,101,0.0240705433746425,0
"Kerivoula lanosa",0,0.0243088655862726,102,0.0243088655862726,0
"Cynopterus titthaecheilus",0,0.0246663489037178,103.5,0.0246663489037178,0
"Myotis bocagii",0,0.0246663489037178,103.5,0.0246663489037178,0
"Cynopterus minutus",0,0.0252621544327931,106,0.0252621544327931,0
"Kerivoula pellucida",0,0.0252621544327931,106,0.0252621544327931,0
"Rhinolophus fumigatus",0,0.0252621544327931,106,0.0252621544327931,0
"Pipistrellus rueppellii",0,0.0263346043851287,110.5,0.0263346043851287,0
"Myotis adversus",0,0.026930409914204,113,0.026930409914204,0
"Pipistrellus stenopterus",0,0.0271687321258341,114,0.0271687321258341,0
"Rhinolophus siamensis",0,0.0274070543374643,115,0.0274070543374643,0
"Myotis ridleyi",0,0.0277645376549094,116.5,0.0277645376549094,0
"Rhinolophus yunanensis",0,0.0281220209723546,118,0.0281220209723546,0
"Mimetillus moloneyi",0,0.0283603431839847,119,0.0283603431839847,0
"Pipistrellus rusticus",0,0.0285986653956149,120,0.0285986653956149,0
"Nycticeinops schlieffeni",0,0.0290753098188751,122,0.0290753098188751,0
"Scotonycteris zenkeri",0,0.0293136320305052,123,0.0293136320305052,0
"Neoromicia guineensis",0,0.0296711153479504,124.5,0.0296711153479504,0
"Rhinolophus landeri",0,0.0306244041944709,128.5,0.0306244041944709,0
"Plecotus austriacus",0,0.0313393708293613,131.5,0.0313393708293613,0
"Myotis welwitschii",0,0.0318160152526215,133.5,0.0318160152526215,0
"Myotis nipalensis",0,0.0321734985700667,135,0.0321734985700667,0
"Penthetor lucasi",0,0.0324118207816969,136,0.0324118207816969,0
"Eptesicus bottae",0,0.032650142993327,137,0.032650142993327,0
"Rhinolophus alcyone",0,0.0328884652049571,138,0.0328884652049571,0
"Eptesicus pachyotis",0,0.0341992373689228,143.5,0.0341992373689228,0
"Glauconycteris poensis",0,0.0341992373689228,143.5,0.0341992373689228,0
"Myotis fimbriatus",0,0.0349142040038132,146.5,0.0349142040038132,0
"Myotis tricolor",0,0.0352716873212583,148,0.0352716873212583,0
"Balionycteris maculata",0,0.0355100095328885,149,0.0355100095328885,0
"Chironax melanocephalus",0,0.0357483317445186,150,0.0357483317445186,0
"Scotoecus albofuscus",0,0.0359866539561487,151,0.0359866539561487,0
"Myotis frater",0,0.0363441372735939,152.5,0.0363441372735939,0
"Megaderma lyra",0,0.0372974261201144,156.5,0.0372974261201144,0
"Kerivoula intermedia",0,0.0376549094375596,158,0.0376549094375596,0
"Eonycteris major",0,0.0381315538608198,160,0.0381315538608198,0
"Epomophorus crypturus",0,0.0396806482364156,166.5,0.0396806482364156,0
"Scotophilus collinus",0,0.0396806482364156,166.5,0.0396806482364156,0
"Dyacopterus brooksi",0,0.0400381315538608,168,0.0400381315538608,0
"Pipistrellus nanulus",0,0.0406339370829361,170.5,0.0406339370829361,0
"Glauconycteris beatrix",0,0.0412297426120114,173,0.0412297426120114,0
"Megaderma spasma",0,0.0414680648236416,174,0.0414680648236416,0
"Epomophorus minimus",0,0.0417063870352717,175,0.0417063870352717,0
"Kerivoula minuta",0,0.0426596758817922,179,0.0426596758817922,0
"Casinycteris argynnis",0,0.0428979980934223,180,0.0428979980934223,0
"Pteropus intermedius",0,0.0431363203050524,181,0.0431363203050524,0
"Phoniscus atrox",0,0.044208770257388,185.5,0.044208770257388,0
"Murina huttoni",0,0.0445662535748332,187,0.0445662535748332,0
"Scotonycteris ophiodon",0,0.0448045757864633,188,0.0448045757864633,0
"Kerivoula argentata",0,0.0450428979980934,189,0.0450428979980934,0
"Plerotes anchietae",0,0.0456387035271687,191.5,0.0456387035271687,0
"Kerivoula phalaena",0,0.0464728312678742,195,0.0464728312678742,0
"Aethalops alecto",0,0.0467111534795043,196,0.0467111534795043,0
"Kerivoula lenis",0,0.0469494756911344,197,0.0469494756911344,0
"Cynopterus luzoniensis",0,0.0471877979027645,198,0.0471877979027645,0
"Rhinolophus sedulus",0,0.0476644423260248,200,0.0476644423260248,0
"Rousettus spinalatus",0,0.048141086749285,202,0.048141086749285,0
"Kerivoula whiteheadi",0,0.0483794089609152,203,0.0483794089609152,0
"Eptesicus nasutus",0,0.0488560533841754,205,0.0488560533841754,0
"Kerivoula smithii",0,0.0490943755958055,206,0.0490943755958055,0
"Megaerops wetmorei",0,0.0494518589132507,207.5,0.0494518589132507,0
"Myotis keaysi",0,0.0494518589132507,207.5,0.0494518589132507,0
"Epomophorus angolensis",0,0.0498093422306959,209,0.0498093422306959,0
"Rhinolophus borneensis",0,0.050047664442326,210,0.050047664442326,0
"Kerivoula cuprosa",0,0.0505243088655863,212,0.0505243088655863,0
"Laephotis wintoni",0,0.0507626310772164,213,0.0507626310772164,0
"Murina aenea",0,0.0510009532888465,214,0.0510009532888465,0
"Glauconycteris humeralis",0,0.0512392755004766,215,0.0512392755004766,0
"Rousettus lanosus",0,0.0514775977121068,216,0.0514775977121068,0
"Micropteropus intermedius",0,0.051835081029552,217.5,0.051835081029552,0
"Neoromicia zuluensis",0,0.051835081029552,217.5,0.051835081029552,0
"Plecotus kolombatovici",0,0.0526692087702574,221,0.0526692087702574,0
"Otonycteris hemprichii",0,0.0529075309818875,222,0.0529075309818875,0
"Neoromicia melckorum",0,0.0532650142993327,223.5,0.0532650142993327,0
"Myotis ater",0,0.0536224976167779,225,0.0536224976167779,0
"Myotis oxyotus",0,0.053860819828408,226,0.053860819828408,0
"Nyctalus aviator",0,0.0544566253574833,228.5,0.0544566253574833,0
"Rhinolophus swinnyi",0,0.0548141086749285,230,0.0548141086749285,0
"Rhinolophus philippinensis",0,0.0550524308865586,231,0.0550524308865586,0
"Eptesicus gobiensis",0,0.0552907530981888,232,0.0552907530981888,0
"Myotis macrotarsus",0,0.0555290753098189,233,0.0555290753098189,0
"Falsistrellus mordax",0,0.0560057197330791,235,0.0560057197330791,0
"Rhinolophus celebensis",0,0.0564823641563394,237,0.0564823641563394,0
"Glauconycteris egeria",0,0.0567206863679695,238,0.0567206863679695,0
"Myotis scotti",0,0.0571973307912297,240,0.0571973307912297,0
"Laephotis botswanae",0,0.0574356530028599,241,0.0574356530028599,0
"Rhinolophus denti",0,0.0579122974261201,243,0.0579122974261201,0
"Rhogeessa io",0,0.0581506196377502,244,0.0581506196377502,0
"Eptesicus hottentotus",0,0.0583889418493804,245,0.0583889418493804,0
"Aethalops aequalis",0,0.0586272640610105,246,0.0586272640610105,0
"Myotis moluccarum",0,0.0593422306959009,249,0.0593422306959009,0
"Rousettus bidens",0,0.0600571973307912,252,0.0600571973307912,0
"Rhinolophus robinsoni",0,0.0602955195424214,253,0.0602955195424214,0
"Neoromicia helios",0,0.0605338417540515,254,0.0605338417540515,0
"Rhinolophus arcuatus",0,0.0610104861773117,256,0.0610104861773117,0
"Glauconycteris alboguttata",0,0.0613679694947569,257.5,0.0613679694947569,0
"Hesperoptenus tomesi",0,0.0618446139180172,259.5,0.0618446139180172,0
"Taphozous longimanus",0,0.0622020972354623,261,0.0622020972354623,0
"Myotis elegans",0,0.0625595805529075,262.5,0.0625595805529075,0
"Myotis sicarius",0,0.0625595805529075,262.5,0.0625595805529075,0
"Rhinolophus guineensis",0,0.0629170638703527,264,0.0629170638703527,0
"Myonycteris relicta",0,0.063393708293613,266,0.063393708293613,0
"Scotozous dormeri",0,0.063393708293613,266,0.063393708293613,0
"Rousettus madagascariensis",0,0.0638703527168732,268,0.0638703527168732,0
"Nyctalus montanus",0,0.0641086749285033,269,0.0641086749285033,0
"Rhogeessa minutilla",0,0.0643469971401335,270,0.0643469971401335,0
"Hypsugo macrotis",0,0.0645853193517636,271,0.0645853193517636,0
"Pteropus griseus",0,0.0650619637750238,273,0.0650619637750238,0
"Myotis melanorhinus",0,0.065300285986654,274,0.065300285986654,0
"Acerodon jubatus",0,0.0655386081982841,275,0.0655386081982841,0
"Myotis fortidens",0,0.0662535748331745,278,0.0662535748331745,0
"Eptesicus andinus",0,0.0664918970448046,279,0.0664918970448046,0
"Cynopterus nusatenggara",0,0.0668493803622498,280.5,0.0668493803622498,0
"Rousettus celebensis",0,0.0668493803622498,280.5,0.0668493803622498,0
"Pteropus lombocensis",0,0.0672068636796949,282,0.0672068636796949,0
"Rhinolophus darlingi",0,0.0674451858913251,283,0.0674451858913251,0
"Ptenochirus minor",0,0.0676835081029552,284,0.0676835081029552,0
"Scotophilus nucella",0,0.0679218303145853,285,0.0679218303145853,0
"Chaerephon ansorgei",0,0.0686367969494757,288,0.0686367969494757,0
"Myotis schaubi",0,0.0689942802669209,289.5,0.0689942802669209,0
"Harpyionycteris whiteheadi",0,0.0697092469018113,292.5,0.0697092469018113,0
"Myotis bombinus",0,0.0697092469018113,292.5,0.0697092469018113,0
"Myotis ikonnikovi",0,0.0703050524308866,295,0.0703050524308866,0
"Pteropus leucopterus",0,0.0705433746425167,296,0.0705433746425167,0
"Pipistrellus westralis",0,0.0707816968541468,297,0.0707816968541468,0
"Myotis simus",0,0.0712583412774071,299,0.0712583412774071,0
"Acerodon mackloti",0,0.0719733079122974,302,0.0719733079122974,0
"Eptesicus floweri",0,0.0724499523355577,304,0.0724499523355577,0
"Murina rozendaali",0,0.0731649189704481,307,0.0731649189704481,0
"Rhogeessa tumida",0,0.0731649189704481,307,0.0731649189704481,0
"Myonycteris brachycephala",0,0.0747140133460439,313.5,0.0747140133460439,0
"Eptesicus chiriquinus",0,0.0747140133460439,313.5,0.0747140133460439,0
"Dobsonia crenulata",0,0.075071496663489,315,0.075071496663489,0
"Pteropus keyensis",0,0.0754289799809342,316.5,0.0754289799809342,0
"Bauerus dubiaquercus",0,0.0757864632983794,318,0.0757864632983794,0
"Pipistrellus papuanus",0,0.0761439466158246,319.5,0.0761439466158246,0
"Eonycteris robusta",0,0.0765014299332698,321,0.0765014299332698,0
"Haplonycteris fischeri",0,0.0767397521448999,322,0.0767397521448999,0
"Dobsonia peronii",0,0.0772163965681602,324,0.0772163965681602,0
"Thoopterus nigrescens",0,0.0772163965681602,324,0.0772163965681602,0
"Hipposideros cyclops",0,0.0779313632030505,327,0.0779313632030505,0
"Styloctenium wallacei",0,0.0782888465204957,328.5,0.0782888465204957,0
