"Sp","Betacov","R.Alb","R.Car3","R.Dal1","R.Far1","R.Gut1","R.Po2","R.Po3","R.Stock1","P.Alb","P.Car3","P.Dal1","P.Far1","P.Gut1","P.Po2","P.Po3","P.Stock1","Rank","PropRank","InSample"
"Cynopterus sphinx",1,0.0113052415210689,0.00448028673835125,0.0275590551181102,0.031496062992126,0.00268817204301075,NA,NA,0.0265654648956357,0.261447368421053,0.410046201607984,1.02329147891185,0.424368958658,0.972511021959431,NA,NA,0.566040454261742,10.3333333333333,0.0173490472180505,1
"Rousettus aegyptiacus",1,0.0359712230215827,0.000896057347670251,0.133858267716535,0.0078740157480315,0.000896057347670251,NA,NA,0.0113851992409867,0.244736842105263,0.495519581616184,0.834221442003587,0.56885961480721,0.975070385186319,NA,NA,0.646537367123119,14.1666666666667,0.0318134700704128,1
"Rhinolophus ferrumequinum",1,0.00308324768756423,0.0206093189964158,0.118110236220472,0.0354330708661417,0.025089605734767,NA,NA,0.00094876660341556,0.273552631578947,0.353948439620414,0.874055175628209,0.419585831713048,0.945156936492087,NA,NA,0.876036922083603,15.6666666666667,0.0338790410181295,1
"Eonycteris spelaea",1,0.0611510791366906,0.028673835125448,0.078740157480315,0.0433070866141732,0.00448028673835125,NA,NA,0.0256166982922201,0.236973684210526,0.339678626132639,0.91153826467712,0.41670677340564,0.966399340676285,NA,NA,0.570927010739389,25.75,0.040328190564533,1
"Rousettus leschenaultii",1,0.0102774922918808,0.00627240143369176,0.255905511811024,0.00393700787401575,0.0017921146953405,NA,NA,0.00284629981024668,0.261842105263158,0.392721698717154,0.697459433487633,0.575533786118961,0.973093301368304,NA,NA,0.769456209887677,14.6666666666667,0.0468384713193665,1
"Eidolon helvum",1,0.079136690647482,0.0017921146953405,0.137795275590551,0.0118110236220472,0.003584229390681,NA,NA,0.0578747628083491,0.231052631578947,0.447011729480027,0.825326772688239,0.543432364495717,0.969064240116946,NA,NA,0.498858500670544,30.3333333333333,0.0486656827924085,1
"Cynopterus brachyotis",1,0.0318602261048304,0.00537634408602151,0.141732283464567,0.0984251968503937,0.032258064516129,NA,NA,0.0341555977229602,0.246184210526316,0.393644320475261,0.820218802643947,0.362150893139204,0.938012808895929,NA,NA,0.5418319402882,28.3333333333333,0.0573012854574836,1
"Pipistrellus pipistrellus",1,0.013360739979445,0.043010752688172,0.00393700787401575,0.0866141732283465,0.102150537634409,NA,NA,0.115749525616698,0.260657894736842,0.313364712827051,1.03405714753242,0.369979425158603,0.865072393940715,NA,NA,0.431833427476246,53.3333333333333,0.0608037895035144,1
"Eptesicus serotinus",1,0.0123329907502569,0.0259856630824373,0.125984251968504,0.149606299212598,0.0152329749103943,NA,NA,0.158444022770398,0.260789473684211,0.342093590043502,0.86845917099765,0.304416225217393,0.954818503987575,NA,NA,0.373160175362548,49.1666666666667,0.0812643671157649,1
"Epomophorus gambianus",1,0.127954779033916,0.003584229390681,0.208661417322835,0.0826771653543307,0.10663082437276,NA,NA,0.0246679316888046,0.223552631578947,0.414480274262007,0.757682850809307,0.383053314776728,0.862656186162417,NA,NA,0.575491962516992,57.9166666666667,0.0923627245272211,1
"Micropteropus pusillus",1,0.0770811921891059,0.00985663082437276,0.263779527559055,0.0275590551181102,0.130824372759857,NA,NA,0.0550284629981025,0.232105263157895,0.376787007842184,0.658922583436718,0.427210154210875,0.841592176419572,NA,NA,0.503225418902465,60.6666666666667,0.0940215402414338,1
"Pteropus giganteus",1,0.0971223021582734,0.0161290322580645,0.208661417322835,0.110236220472441,0.0259856630824373,NA,NA,0.126185958254269,0.227105263157895,0.354651239738527,0.757682850809307,0.361108975575104,0.943872566033683,NA,NA,0.414974127078415,59.25,0.0973867655913867,1
"Miniopterus schreibersii",1,0.289311408016444,0.014336917562724,0.0826771653543307,0.0511811023622047,0.0555555555555556,NA,NA,0.11100569259962,0.190657894736842,0.35790848772481,0.909578640940235,0.409283248641356,0.917278185552151,NA,NA,0.435827837765467,85.0833333333333,0.100677973575147,1
"Hipposideros armiger",1,0.119218910585817,0.0537634408602151,0.248031496062992,0.118110236220472,0.00627240143369176,NA,NA,0.119544592030361,0.224736842105263,0.303319905553081,0.719083436173111,0.348982451130045,0.962958765632423,NA,NA,0.429459735230506,67,0.110823512865592,1
"Rhinolophus pusillus",1,0.0184994861253854,0.0797491039426523,0.196850393700787,0.161417322834646,0.238351254480287,NA,NA,0.0180265654648956,0.253552631578947,0.268852482432646,0.779886198539024,0.301071509494916,0.684300258706853,NA,NA,0.610877236191092,80.5,0.118815687758109,1
"Myotis daubentonii",1,0.0719424460431655,0.0439068100358423,0.208661417322835,0.0905511811023622,0.0878136200716846,NA,NA,0.219165085388994,0.233552631578947,0.312135157383231,0.757682850809307,0.367446505428076,0.881567252470267,NA,NA,0.301984591925718,87.3333333333333,0.120340093327481,1
"Pipistrellus abramus",1,0.0544707091469681,0.0815412186379928,0.181102362204724,0.169291338582677,0.146953405017921,NA,NA,0.118595825426945,0.237894736842105,0.267411794406079,0.810023229611239,0.298501751872392,0.825094148983517,NA,NA,0.430382723407107,87,0.125325809836205,1
"Rousettus amplexicaudatus",1,0.0226104830421377,0.0492831541218638,0.5,0.145669291338583,0.0582437275985663,NA,NA,0.0161290322580645,0.250526315789474,0.307844149861853,0.605611013861592,0.324599767372316,0.913785084640548,NA,NA,0.61630351170851,53.8333333333333,0.131989281393203,1
"Rhinolophus affinis",1,0.00822199383350463,0.0600358422939068,0.568897637795276,0.137795275590551,0.0188172043010753,NA,NA,0.0227703984819734,0.263026315789474,0.295991960601241,0.538508442944989,0.341709291654369,0.950385312240529,NA,NA,0.578256191898906,49.9166666666667,0.136089725382714,1
"Murina leucogaster",0,0.10945529290853,0.101254480286738,0.0354330708661417,0.15748031496063,0.0743727598566308,NA,NA,0.35673624288425,0.226184210526316,0.257736674902264,1.00536320455764,0.301804186374288,0.892441934883929,NA,NA,0.239834724234766,121.25,0.139122026960487,1
"Pipistrellus nathusii",1,0.130010277492292,0.0474910394265233,0.228346456692913,0.28740157480315,0.120071684587814,NA,NA,0.0958254269449715,0.223026315789474,0.31069426572724,0.743308955637129,0.233322126337348,0.854202557836472,NA,NA,0.452242444613092,90.9166666666667,0.151524409991277,1
"Nyctalus noctula",1,0.161356628982528,0.0295698924731183,0.228346456692913,0.303149606299213,0.0134408602150538,NA,NA,0.189753320683112,0.216184210526316,0.335574641387327,0.743308955637129,0.231575564020647,0.955898782456342,NA,NA,0.329624433703987,90,0.15426946089099,1
"Hipposideros caffer",1,0.285200411099692,0.010752688172043,0.488188976377953,0.133858267716535,0.00537634408602151,NA,NA,0.047438330170778,0.190921052631579,0.373752161521662,0.619436642274892,0.342603453018098,0.966329323086031,NA,NA,0.523724774781312,83.9166666666667,0.16180250293717,1
