"Sp","Betacov","R.Alb","R.Car3","R.Gut1","R.Stock1","P.Alb","P.Car3","P.Gut1","P.Stock1","Rank","PropRank","InSample"
"Rhinolophus luctus",0,0.00411099691675231,0.0672043010752688,0.00985663082437276,0.0445920303605313,0.272368421052632,0.279714398565461,0.958741133118542,0.530446983722847,34.25,0.0314409897942313,0
"Myonycteris angolensis",0,0.0339157245632066,0.0170250896057348,0.0501792114695341,0.0275142314990512,0.245394736842105,0.35450509846187,0.919438761913011,0.562867407009791,34.25,0.0321585642843817,0
"Rhinolophus fumigatus",0,0.0611510791366906,0.0483870967741935,0.0304659498207885,0.0483870967741935,0.236973684210526,0.308385371564914,0.939068696797381,0.519159772215259,49.625,0.0470978056264666,0
"Rhinolophus landeri",0,0.0585817060637204,0.0618279569892473,0.0770609318996416,0.0929791271347249,0.237236842105263,0.29091002802252,0.890662331525091,0.453764707174317,77.5,0.0726124305218336,0
"Rhinolophus yunanensis",0,0.130010277492292,0.112903225806452,0.03584229390681,0.0132827324478178,0.223026315789474,0.252409493125982,0.93428555928788,0.620415285405488,76.625,0.0730096324133428,0
"Sphaerias blanfordi",0,0.101233299075026,0.00268817204301075,0.0492831541218638,0.156546489563567,0.226710526315789,0.437584555265095,0.921018035103103,0.373921858176532,80.375,0.0774377787008669,0
"Rhinolophus osgoodi",0,NA,0.131720430107527,0.0931899641577061,0.0104364326375712,NA,0.244580596307756,0.878576589953654,0.649802601867804,87.3333333333333,0.0784489423009347,0
"Nyctalus leisleri",0,0.0380267214799589,0.0421146953405018,0.0376344086021505,0.204933586337761,0.243815789473684,0.315287262229859,0.93339716687356,0.316506444288979,85.5,0.080677352940093,0
"Rhinolophus trifoliatus",0,0.0637204522096608,0.145161290322581,0.0403225806451613,0.0853889943074004,0.236184210526316,0.234544090104973,0.931200869316637,0.464673481654469,89.75,0.0836483293712008,0
"Scotomanes ornatus",0,0.0195272353545735,0.0922939068100358,0.017921146953405,0.222960151802657,0.252368421052632,0.261682378272679,0.951139598503484,0.297471007309986,94.25,0.0881756102301677,0
"Rhinolophus lepidus",0,0.0411099691675231,0.139784946236559,0.125448028673835,0.0464895635673624,0.242894736842105,0.237840849141092,0.851133186966233,0.528938751573887,96.25,0.0882081269113199,0
"Macroglossus sobrinus",0,0.0426515930113052,0.0564516129032258,0.021505376344086,0.235294117647059,0.2425,0.302236308526649,0.949281433405464,0.290606636649179,94.125,0.088975674976419,0
"Rhinolophus marshalli",0,0.052415210688592,0.155017921146953,0.104838709677419,0.0607210626185958,0.238815789473684,0.229186032298639,0.863330485617736,0.489350203768657,101.25,0.0932482260328901,0
"Rhinolophus paradoxolophus",0,0.0750256937307297,0.14247311827957,0.140681003584229,0.0208728652751423,0.232631578947368,0.236446536678298,0.831419743621958,0.597623263788837,102.75,0.0947631702174178,0
"Megaerops ecaudatus",0,0.151079136690647,0.0456989247311828,0.0600358422939068,0.128083491461101,0.218421052631579,0.31133598211348,0.906124167826969,0.41324751535745,100,0.0962243487942094,0
"Asellia tridens",0,0.257965056526208,0.0197132616487455,0.046594982078853,0.0626185958254269,0.195394736842105,0.353984636322269,0.92342408879809,0.486431343414369,97.75,0.0967229740198083,0
"Pipistrellus javanicus",0,0.00616649537512847,0.10663082437276,0.10573476702509,0.173624288425047,0.269868421052632,0.254489683271477,0.862778952519776,0.34519127934796,106.5,0.0980390937995063,0
"Pipistrellus ceylonicus",0,0.0369989722507708,0.135304659498208,0.0797491039426523,0.147058823529412,0.244605263157895,0.242405405351279,0.889338633926741,0.382546049983483,107.75,0.0997778898052607,0
"Scotophilus heathii",0,0.0298047276464543,0.112007168458781,0.0161290322580645,0.257115749525617,0.247236842105263,0.252411079970626,0.953386424309936,0.281323760059791,110.75,0.103764169472229,0
"Rhinolophus malayanus",0,0.0282631038026721,0.175627240143369,0.152329749103943,0.0777988614800759,0.247763157894737,0.21922573164768,0.818776801566286,0.471796074748026,118.875,0.108504738632515,0
"Myotis altarium",0,0.0513874614594039,0.0752688172043011,0.0439068100358423,0.282732447817837,0.238947368421053,0.271910348128991,0.924846667912717,0.269776115320686,120.25,0.113323884129346,0
"Myotis formosus",0,0.0174717368961973,0.150537634408602,0.0206093189964158,0.327324478178368,0.256578947368421,0.232812973558407,0.949940467472191,0.253218997332007,138.25,0.128985792119896,0
"Pipistrellus rueppellii",0,0.104830421377184,0.0232974910394265,0.0537634408602151,0.355787476280835,0.226447368421053,0.352161248363109,0.918298633037802,0.240392919885615,140.75,0.134419707389415,0
"Scotophilus viridis",0,0.0971223021582734,0.115591397849462,0.127240143369176,0.234345351043643,0.227105263157895,0.251205612125464,0.848942769202692,0.291891996326451,153.125,0.143574798605139,0
"Barbastella leucomelas",0,0.0205549845837616,0.229390681003584,0.0698924731182796,0.256166982922201,0.251315789473684,0.188530553110172,0.894580372500915,0.281424581962682,156,0.144001280406957,0
"Nycticeinops schlieffeni",0,0.0930113052415211,0.021505376344086,0.0654121863799283,0.407020872865275,0.227763157894737,0.353144895053721,0.897548436659989,0.211365440043766,154.125,0.146737435207703,0
"Myotis oxygnathus",0,NA,0.0367383512544803,0.0833333333333333,0.320683111954459,NA,0.324064066755648,0.887234203415729,0.255460260266352,157.333333333333,0.146918265514091,0
"Epomophorus minimus",0,0.112024665981501,0.252688172043011,0.195340501792115,0.0313092979127135,0.225921052631579,0.176974554825542,0.763785062897759,0.546204422880708,160.5,0.147840659432335,0
"Hypsugo pulveratus",0,NA,0.0913978494623656,0.0869175627240143,0.267552182163188,NA,0.2617026772424,0.881746116212131,0.274544444086839,160.333333333333,0.148622531449856,0
"Rousettus spinalatus",0,0.172661870503597,0.198028673835125,0.198924731182796,0.0351043643263757,0.213157894736842,0.20399300515173,0.759083086231819,0.541071589282877,162,0.151179909961974,0
"Hipposideros lylei",0,0.195786228160329,0.156810035842294,0.0824372759856631,0.169829222011385,0.207763157894737,0.228270818822123,0.887643010366626,0.351284436016593,159.125,0.151215690499918,0
