"Sp","Betacov","R.Alb","R.Dal1","R.Far1","R.Po2","R.Po3","Rank","PropRank","InSample"
"Rousettus aegyptiacus",1,0.0127502383222116,0.052112676056338,0.0225352112676056,NA,NA,35.5,0.0291327085487184,1
"Cynopterus sphinx",1,0.00285986653956149,0.00985915492957747,0.0788732394366197,NA,NA,25,0.0305307536352529,1
"Rhinolophus ferrumequinum",1,0.000238322211630124,0.0464788732394366,0.0563380281690141,NA,NA,24.6666666666667,0.0343517412066936,1
"Scotophilus kuhlii",0,0.00166825548141087,0.028169014084507,0.076056338028169,NA,NA,27,0.035297869198029,1
"Eidolon helvum",1,0.0255004766444233,0.0535211267605634,0.0295774647887324,NA,NA,55.3333333333333,0.0361996893979063,1
"Eonycteris spelaea",1,0.0112011439466158,0.0295774647887324,0.0816901408450704,NA,NA,42,0.0408229165268062,1
"Pipistrellus pipistrellus",1,0.00238322211630124,0.00140845070422535,0.119718309859155,NA,NA,32,0.0411699942265605,1
"Rousettus leschenaultii",1,0.00262154432793136,0.116901408450704,0.0211267605633803,NA,NA,36.3333333333333,0.046883237780672,1
"Myotis nigricans",0,0.0560057197330791,0.00492957746478873,0.11830985915493,NA,NA,107.5,0.0597483854509325,1
"Cynopterus brachyotis",1,0.00834127740705434,0.0549295774647887,0.122535211267606,NA,NA,53.6666666666667,0.0619353553798162,1
"Miniopterus schreibersii",1,0.0539799809342231,0.0309859154929577,0.101408450704225,NA,NA,106.833333333333,0.0621247823771354,1
"Eptesicus fuscus",0,0.0694709246901811,0.00492957746478873,0.125352112676056,NA,NA,128,0.0665842049436754,1
"Micropteropus pusillus",1,0.0235938989513823,0.125352112676056,0.0605633802816901,NA,NA,77,0.0698364639697096,1
"Myotis daubentonii",1,0.0117969494756911,0.0802816901408451,0.128169014084507,NA,NA,65.8333333333333,0.0734158845670144,1
"Artibeus jamaicensis",0,0.155147759771211,0.0140845070422535,0.052112676056338,NA,NA,232.666666666667,0.0737816476232674,1
"Epomophorus gambianus",1,0.0375357483317445,0.0802816901408451,0.111267605633803,NA,NA,97.8333333333333,0.0763616813687975,1
"Pteropus alecto",1,0.101763584366063,0.047887323943662,0.0830985915492958,NA,NA,173.333333333333,0.0775831666196736,1
