"Sp","Betacov.2021","R.Alb.2021","R.Car3.2021","R.Dal1.2021","R.Far1.2021","R.Gut1.2021","R.Po2.2021","R.Po3.2021","R.Stock1.2021","P.Alb.2021","P.Car3.2021","P.Dal1.2021","P.Far1.2021","P.Gut1.2021","P.Po2.2021","P.Po3.2021","P.Stock1.2021","Rank.2021","PropRank.2021","InSample.2021","Betacov.2020","R.Alb.2020","R.Car3.2020","R.Dal1.2020","R.Far1.2020","R.Gut1.2020","R.Po2.2020","R.Po3.2020","R.Stock1.2020","P.Alb.2020","P.Car3.2020","P.Dal1.2020","P.Far1.2020","P.Gut1.2020","P.Po2.2020","P.Po3.2020","P.Stock1.2020","Rank.2020","PropRank.2020","InSample.2020"
"Cynopterus sphinx",1,0.0102774922918808,0.0152329749103943,0.00732600732600733,0.0367647058823529,0.0672043010752688,0.0412371134020619,0.0504807692307692,0.0407969639468691,0.266637168141593,0.553364929475574,1.56303172670024,0.519169742069477,0.924870504103186,0.8,0.354127075931587,0.604254011371656,21.6875,0.0336650410082005,1,1,0.0113052415210689,0.00448028673835125,0.0275590551181102,0.0393700787401575,0.00268817204301075,0.0412371134020619,0.0466321243523316,0.0265654648956357,0.261447368421053,0.410046201607984,1.02329147891185,0.425159505179728,0.972511021959431,0.8,0.324392143289781,0.566040454261742,9.875,0.024979692101341,1
"Rousettus aegyptiacus",1,0.0431654676258993,0.000896057347670251,0.113553113553114,0.00735294117647059,0.046594982078853,0.0412371134020619,0.00480769230769231,0.0142314990512334,0.241592920353982,0.704499037853186,1.01331387651419,0.652459229679527,0.938453816461237,0.8,0.420061141865653,0.670909324784874,18.75,0.0339798583178743,1,1,0.0359712230215827,0.000896057347670251,0.133858267716535,0.0078740157480315,0.000896057347670251,0.0412371134020619,0.0155440414507772,0.0113851992409867,0.244736842105263,0.495519581616184,0.834221442003587,0.572607177956557,0.975070385186319,0.8,0.390326209223847,0.646537367123119,11.75,0.0309577469094145,1
"Eonycteris spelaea",1,0.0205549845837616,0.0206093189964158,0.0659340659340659,0.0404411764705882,0.0224014336917563,0.0412371134020619,0.0504807692307692,0.0284629981024668,0.253362831858407,0.528125787151462,1.24370074063227,0.511685449104668,0.954346054644057,0.8,0.354127075931587,0.622811901071959,17.9375,0.0362652325514857,1,1,0.0611510791366906,0.028673835125448,0.078740157480315,0.031496062992126,0.00448028673835125,0.0412371134020619,0.0466321243523316,0.0256166982922201,0.236973684210526,0.339678626132639,0.91153826467712,0.426942786181385,0.966399340676285,0.8,0.324392143289781,0.570927010739389,20.8125,0.0397534196899431,1
"Eidolon helvum",1,0.0575539568345324,0.0017921146953405,0.164835164835165,0.0110294117647059,0.00806451612903226,0.00687285223367698,0.00480769230769231,0.0910815939278937,0.237610619469027,0.663033149566343,0.993715649852476,0.638722944605942,0.963707865668471,1,0.420061141865653,0.536799923707124,26.625,0.0432546628410049,1,1,0.079136690647482,0.0017921146953405,0.137795275590551,0.0118110236220472,0.003584229390681,0.00687285223367698,0.0155440414507772,0.0578747628083491,0.231052631578947,0.447011729480027,0.825326772688239,0.547487166282579,0.969064240116946,1,0.390326209223847,0.498858500670544,23.25,0.0393013738048632,1
"Rousettus leschenaultii",1,0.0113052415210689,0.014336917562724,0.249084249084249,0.00367647058823529,0.0268817204301075,0.0412371134020619,0.00480769230769231,0.00284629981024668,0.264247787610619,0.557095977163374,0.744474290618528,0.658200473940627,0.951517932126051,0.8,0.420061141865653,0.844147670063582,17,0.0442719630882982,1,1,0.0102774922918808,0.00627240143369176,0.255905511811024,0.00393700787401575,0.0017921146953405,0.0412371134020619,0.0155440414507772,0.00284629981024668,0.261842105263158,0.392721698717154,0.697459433487633,0.573683875332852,0.973093301368304,0.8,0.390326209223847,0.769456209887677,12.125,0.0422264978461298,1
"Rhinolophus ferrumequinum",1,0.0339157245632066,0.0385304659498208,0.0915750915750916,0.0477941176470588,0.0967741935483871,0.151202749140893,0.09375,0.00094876660341556,0.246017699115044,0.490922284788267,1.15298689390525,0.507203636183721,0.908362749426976,0.6,0.332149053953565,0.908287222336532,33.0625,0.0693113886284842,1,1,0.00308324768756423,0.0206093189964158,0.118110236220472,0.0433070866141732,0.025089605734767,0.151202749140893,0.0880829015544041,0.00094876660341556,0.273552631578947,0.353948439620414,0.874055175628209,0.422573400494701,0.945156936492087,0.6,0.302414121311759,0.876036922083603,16.875,0.0563042390690132,1
"Cynopterus brachyotis",1,0.0215827338129496,0.0170250896057348,0.106227106227106,0.0955882352941176,0.0851254480286738,0.151202749140893,0.09375,0.0398481973434535,0.253097345132743,0.541260625864555,1.06085513391205,0.451941076342637,0.915895451518949,0.6,0.332149053953565,0.605353548722655,34.1875,0.0762936949316161,1,1,0.0318602261048304,0.00537634408602151,0.141732283464567,0.110236220472441,0.032258064516129,0.151202749140893,0.0880829015544041,0.0341555977229602,0.246184210526316,0.393644320475261,0.820218802643947,0.363950763432354,0.938012808895929,0.6,0.302414121311759,0.5418319402882,26.5,0.0743630483827808,1
"Epomophorus gambianus",1,0.0822199383350462,0.00268817204301075,0.175824175824176,0.0772058823529412,0.0134408602150538,0.151202749140893,0.09375,0.0332068311195446,0.229911504424779,0.661352642283928,0.920805518119371,0.472178466648844,0.958327609340588,0.6,0.332149053953565,0.61167615342949,30.4375,0.0786923261288332,1,1,0.127954779033916,0.003584229390681,0.208661417322835,0.0826771653543307,0.10663082437276,0.151202749140893,0.0880829015544041,0.0246679316888046,0.223552631578947,0.414480274262007,0.757682850809307,0.381691728921836,0.862656186162417,0.6,0.302414121311759,0.575491962516992,48.3125,0.099182749732328,1
"Pipistrellus pipistrellus",1,0.0277492291880781,0.0501792114695341,0.00366300366300366,0.0808823529411765,0.119175627240143,0.151202749140893,0.09375,0.119544592030361,0.250176991150442,0.473828211626717,1.6393066738767,0.468082118135041,0.891290650013578,0.6,0.332149053953565,0.498274462387603,50.8125,0.0807683457091487,1,1,0.013360739979445,0.043010752688172,0.00393700787401575,0.0866141732283465,0.102150537634409,0.151202749140893,0.0880829015544041,0.115749525616698,0.260657894736842,0.313364712827051,1.03405714753242,0.376207835532146,0.865072393940715,0.6,0.302414121311759,0.431833427476246,44.875,0.075513548464548,1
"Pteropus giganteus",1,0.103802672147996,0.0313620071684588,0.175824175824176,0.0845588235294118,0.0725806451612903,0.151202749140893,0.09375,0.138519924098672,0.226548672566372,0.50838301828748,0.920805518119371,0.458303816170227,0.923648209301365,0.6,0.332149053953565,0.479979870974342,59.4375,0.106450124633862,1,1,0.0971223021582734,0.0161290322580645,0.208661417322835,0.0905511811023622,0.0259856630824373,0.151202749140893,0.0880829015544041,0.126185958254269,0.227105263157895,0.354651239738527,0.757682850809307,0.370123555540551,0.943872566033683,0.6,0.302414121311759,0.414974127078415,48.6875,0.100490150609192,1
"Micropteropus pusillus",1,0.052415210688592,0.003584229390681,0.263736263736264,0.0330882352941176,0.0304659498207885,0.36426116838488,0.0504807692307692,0.0702087286527514,0.238230088495575,0.63080392188713,0.719458031545953,0.527418175236852,0.94894739632156,0.4,0.354127075931587,0.561842693533254,38.4375,0.108530069399855,1,1,0.0770811921891059,0.00985663082437276,0.263779527559055,0.0275590551181102,0.130824372759857,0.36426116838488,0.0466321243523316,0.0550284629981025,0.232105263157895,0.376787007842184,0.658922583436718,0.431552933200342,0.841592176419572,0.4,0.324392143289781,0.503225418902465,53.25,0.121877816773227,1
