"Sp","Betacov.2021","R.Alb.2021","Rank.2021","PropRank.2021","InSample.2021","Betacov.2020","R.Alb.2020","Rank.2020","PropRank.2020","InSample.2020"
"Myotis muricola",0,0.000238322211630124,1,0.000238322211630124,0,0,0.000953288846520496,4,0.000953288846520496,0
"Pipistrellus tenuis",0,0.000476644423260248,2,0.000476644423260248,0,0,0.000476644423260248,2,0.000476644423260248,0
"Pipistrellus javanicus",0,0.000714966634890372,3,0.000714966634890372,0,0,0.00190657769304099,8,0.00190657769304099,0
"Rhinolophus luctus",0,0.00119161105815062,5,0.00119161105815062,0,0,0.000714966634890372,3,0.000714966634890372,0
"Kerivoula hardwickii",0,0.00166825548141087,7,0.00166825548141087,0,0,0.00405147759771211,17,0.00405147759771211,0
"Myotis siligorensis",0,0.00262154432793136,11,0.00262154432793136,0,0,0.00357483317445186,15,0.00357483317445186,0
"Myotis formosus",0,0.00381315538608198,16,0.00381315538608198,0,0,0.00333651096282174,14,0.00333651096282174,0
"Kerivoula picta",0,0.00405147759771211,17,0.00405147759771211,0,0,0.00810295519542421,34,0.00810295519542421,0
"Murina cyclotis",0,0.00512392755004766,21.5,0.00512392755004766,0,0,0.00738798856053384,31,0.00738798856053384,0
"Scotomanes ornatus",0,0.00548141086749285,23,0.00548141086749285,0,0,0.00381315538608198,16,0.00381315538608198,0
"Macroglossus sobrinus",0,0.0059580552907531,25,0.0059580552907531,0,0,0.00869876072449952,36.5,0.00869876072449952,0
"Myotis chinensis",0,0.00738798856053384,31,0.00738798856053384,0,0,0.00476644423260248,20,0.00476644423260248,0
"Myotis montivagus",0,0.00762631077216397,32,0.00762631077216397,0,0,0.00989037178265014,41.5,0.00989037178265014,0
"Glischropus tylopus",0,0.00881792183031459,37,0.00881792183031459,0,0,0.0162059103908484,68,0.0162059103908484,0
"Barbastella leucomelas",0,0.00929456625357483,39,0.00929456625357483,0,0,0.0050047664442326,21,0.0050047664442326,0
"Harpiocephalus harpia",0,0.00953288846520496,40,0.00953288846520496,0,0,0.00953288846520496,40,0.00953288846520496,0
"Rhinolophus lepidus",0,0.00977121067683508,41,0.00977121067683508,0,0,0.0103670162059104,43.5,0.0103670162059104,0
"Myotis laniger",0,0.0100095328884652,42,0.0100095328884652,0,0,0.00619637750238322,26,0.00619637750238322,0
"Rhinolophus marshalli",0,0.0107244995233556,45,0.0107244995233556,0,0,0.0121544327931363,51,0.0121544327931363,0
"Pipistrellus ceylonicus",0,0.0109628217349857,46,0.0109628217349857,0,0,0.00869876072449952,36.5,0.00869876072449952,0
"Myotis altarium",0,0.0113203050524309,47.5,0.0113203050524309,0,0,0.00905624404194471,38,0.00905624404194471,0
"Pipistrellus paterculus",0,0.0121544327931363,51,0.0121544327931363,0,0,0.0114394661582459,48,0.0114394661582459,0
"Murina tubinaris",0,0.0123927550047664,52,0.0123927550047664,0,0,0.0157292659675882,66,0.0157292659675882,0
"Kerivoula papillosa",0,0.0126310772163966,53,0.0126310772163966,0,0,0.0164442326024785,69,0.0164442326024785,0
"Phoniscus jagorii",0,0.0128693994280267,54,0.0128693994280267,0,0,0.0203765490943756,85.5,0.0203765490943756,0
"Rhinolophus trifoliatus",0,0.0135843660629171,57,0.0135843660629171,0,0,0.0152526215443279,64,0.0152526215443279,0
"Nyctalus leisleri",0,0.0151334604385129,63.5,0.0151334604385129,0,0,0.00989037178265014,41.5,0.00989037178265014,0
"Sphaerias blanfordi",0,0.0151334604385129,63.5,0.0151334604385129,0,0,0.017397521448999,73,0.017397521448999,0
"Myotis hasseltii",0,0.0157292659675882,66,0.0157292659675882,0,0,0.025023832221163,105,0.025023832221163,0
"Hesperoptenus blanfordi",0,0.0159675881792183,67,0.0159675881792183,0,0,0.0280028598665396,117.5,0.0280028598665396,0
"Coelops frithii",0,0.0166825548141087,70,0.0166825548141087,0,0,0.0214489990467112,90,0.0214489990467112,0
"Hesperoptenus tickelli",0,0.0171591992373689,72,0.0171591992373689,0,0,0.0266920877025739,112,0.0266920877025739,0
"Harpiocephalus mordax",0,0.0177550047664442,74.5,0.0177550047664442,0,0,0.0280028598665396,117.5,0.0280028598665396,0
"Hipposideros ater",0,0.0181124880838894,76,0.0181124880838894,0,0,0.0322926596758818,135.5,0.0322926596758818,0
"Neoromicia rendalli",0,0.0183508102955195,77,0.0183508102955195,0,0,0.0240705433746425,101,0.0240705433746425,0
"Rhinolophus paradoxolophus",0,0.0187082936129647,78.5,0.0187082936129647,0,0,0.0159675881792183,67,0.0159675881792183,0
"Scotophilus viridis",0,0.0190657769304099,80,0.0190657769304099,0,0,0.0331267874165872,139,0.0331267874165872,0
"Rhinolophus shortridgei",0,0.0198999046711153,83.5,0.0198999046711153,0,0,0.00929456625357483,39,0.00929456625357483,0
"Neoromicia tenuipinnis",0,0.0202573879885605,85,0.0202573879885605,0,0,0.0294327931363203,123.5,0.0294327931363203,0
"Myotis bechsteinii",0,0.021091515729266,88.5,0.021091515729266,0,0,0.0140610104861773,59,0.0140610104861773,0
"Scotoecus hirundo",0,0.021091515729266,88.5,0.021091515729266,0,0,0.0312202097235462,131,0.0312202097235462,0
"Myotis rosseti",0,0.0214489990467112,90,0.0214489990467112,0,0,0.0400381315538608,168,0.0400381315538608,0
"Falsistrellus affinis",0,0.0225214489990467,94.5,0.0225214489990467,0,0,0.0209723546234509,88,0.0209723546234509,0
"Hipposideros lylei",0,0.0228789323164919,96,0.0228789323164919,0,0,0.0370591039084843,155.5,0.0370591039084843,0
"Murina suilla",0,0.0233555767397521,98,0.0233555767397521,0,0,0.0333651096282174,140,0.0333651096282174,0
"Myotis annectans",0,0.0233555767397521,98,0.0233555767397521,0,0,0.0252621544327931,106,0.0252621544327931,0
"Arielulus circumdatus",0,0.0238322211630124,100,0.0238322211630124,0,0,0.0287178265014299,120.5,0.0287178265014299,0
"Epomophorus minor",0,0.0240705433746425,101,0.0240705433746425,0,0,0.0182316491897045,76.5,0.0182316491897045,0
"Kerivoula lanosa",0,0.0243088655862726,102,0.0243088655862726,0,0,0.0258579599618684,108.5,0.0258579599618684,0
"Cynopterus titthaecheilus",0,0.0246663489037178,103.5,0.0246663489037178,0,0,0.0322926596758818,135.5,0.0322926596758818,0
"Myotis bocagii",0,0.0246663489037178,103.5,0.0246663489037178,0,0,0.0322926596758818,135.5,0.0322926596758818,0
"Cynopterus minutus",0,0.0252621544327931,106,0.0252621544327931,0,0,0.0280028598665396,117.5,0.0280028598665396,0
"Kerivoula pellucida",0,0.0252621544327931,106,0.0252621544327931,0,0,0.0290753098188751,122,0.0290753098188751,0
"Rhinolophus fumigatus",0,0.0252621544327931,106,0.0252621544327931,0,0,0.0226406101048618,95,0.0226406101048618,0
"Rousettus aegyptiacus",1,0.0133460438512869,24.9,0.0261810442851434,1,1,0.0127502383222116,25.2,0.0276712869746531,1
"Pipistrellus rueppellii",0,0.0263346043851287,110.5,0.0263346043851287,0,0,0.0305052430886559,128,0.0305052430886559,0
"Myotis adversus",0,0.026930409914204,113,0.026930409914204,0,0,0.0339609151572927,142.5,0.0339609151572927,0
"Pipistrellus stenopterus",0,0.0271687321258341,114,0.0271687321258341,0,0,0.0274070543374643,115,0.0274070543374643,0
"Rhinolophus siamensis",0,0.0274070543374643,115,0.0274070543374643,0,0,0.0171591992373689,72,0.0171591992373689,0
"Scotophilus kuhlii",1,0.00142993326978074,17.1,0.0274105978736965,1,0,0.00166825548141087,48.5,0.0836815938002874,1
"Eidolon helvum",1,0.0169208770257388,30.7,0.0275310069254001,1,1,0.0255004766444233,44.625,0.0329154497052563,1
"Myotis ridleyi",0,0.0277645376549094,116.5,0.0277645376549094,0,0,0.0359866539561487,151,0.0359866539561487,0
"Rhinolophus yunanensis",0,0.0281220209723546,118,0.0281220209723546,0,0,0.0262154432793136,110,0.0262154432793136,0
"Mimetillus moloneyi",0,0.0283603431839847,119,0.0283603431839847,0,0,0.038489037178265,161.5,0.038489037178265,0
"Pipistrellus rusticus",0,0.0285986653956149,120,0.0285986653956149,0,0,0.0322926596758818,135.5,0.0322926596758818,0
"Nycticeinops schlieffeni",0,0.0290753098188751,122,0.0290753098188751,0,0,0.0315776930409914,132.5,0.0315776930409914,0
"Scotonycteris zenkeri",0,0.0293136320305052,123,0.0293136320305052,0,0,0.0370591039084843,155.5,0.0370591039084843,0
"Neoromicia guineensis",0,0.0296711153479504,124.5,0.0296711153479504,0,0,0.0381315538608198,160,0.0381315538608198,0
"Rhinolophus landeri",0,0.0306244041944709,128.5,0.0306244041944709,0,0,0.0245471877979028,103,0.0245471877979028,0
"Cynopterus sphinx",1,0.00190657769304099,19.5,0.0307575855862865,1,1,0.00285986653956149,21.1,0.0324818410677879,1
"Plecotus austriacus",0,0.0313393708293613,131.5,0.0313393708293613,0,0,0.0185891325071497,78,0.0185891325071497,0
"Myotis welwitschii",0,0.0318160152526215,133.5,0.0318160152526215,0,0,0.0258579599618684,108.5,0.0258579599618684,0
"Myotis nipalensis",0,0.0321734985700667,135,0.0321734985700667,0,0,0.0294327931363203,123.5,0.0294327931363203,0
"Penthetor lucasi",0,0.0324118207816969,136,0.0324118207816969,0,0,0.036463298379409,153,0.036463298379409,0
"Eptesicus bottae",0,0.032650142993327,137,0.032650142993327,0,0,0.0243088655862726,102,0.0243088655862726,0
"Rhinolophus alcyone",0,0.0328884652049571,138,0.0328884652049571,0,0,0.0336034318398475,141,0.0336034318398475,0
"Eptesicus pachyotis",0,0.0341992373689228,143.5,0.0341992373689228,0,0,0.0233555767397521,98,0.0233555767397521,0
"Glauconycteris poensis",0,0.0341992373689228,143.5,0.0341992373689228,0,0,0.0440896091515729,185,0.0440896091515729,0
"Myotis fimbriatus",0,0.0349142040038132,146.5,0.0349142040038132,0,0,0.0280028598665396,117.5,0.0280028598665396,0
"Myotis tricolor",0,0.0352716873212583,148,0.0352716873212583,0,0,0.030743565300286,129,0.030743565300286,0
"Balionycteris maculata",0,0.0355100095328885,149,0.0355100095328885,0,0,0.0411105815061964,172.5,0.0411105815061964,0
"Rousettus leschenaultii",1,0.00238322211630124,24.1,0.0355114905352309,1,1,0.00262154432793136,26.1,0.0388849847955154,1
"Chironax melanocephalus",0,0.0357483317445186,150,0.0357483317445186,0,0,0.0402764537654909,169,0.0402764537654909,0
"Scotoecus albofuscus",0,0.0359866539561487,151,0.0359866539561487,0,0,0.0417063870352717,175,0.0417063870352717,0
"Myotis frater",0,0.0363441372735939,152.5,0.0363441372735939,0,0,0.0222831267874166,93.5,0.0222831267874166,0
"Eonycteris spelaea",1,0.00571973307912297,26.9,0.0372834177970744,1,1,0.0112011439466158,31.1,0.0383754486618748,1
"Megaderma lyra",0,0.0372974261201144,156.5,0.0372974261201144,0,0,0.0309818875119161,130,0.0309818875119161,0
"Kerivoula intermedia",0,0.0376549094375596,158,0.0376549094375596,0,0,0.0390848427073403,164,0.0390848427073403,0
"Eonycteris major",0,0.0381315538608198,160,0.0381315538608198,0,0,0.0396806482364156,166.5,0.0396806482364156,0
"Epomophorus crypturus",0,0.0396806482364156,166.5,0.0396806482364156,0,0,0.0344375595805529,144.5,0.0344375595805529,0
"Scotophilus collinus",0,0.0396806482364156,166.5,0.0396806482364156,0,0,0.0437321258341277,183.5,0.0437321258341277,0
"Dyacopterus brooksi",0,0.0400381315538608,168,0.0400381315538608,0,0,0.0432554814108675,181.5,0.0432554814108675,0
"Pipistrellus nanulus",0,0.0406339370829361,170.5,0.0406339370829361,0,0,0.0467111534795043,196,0.0467111534795043,0
"Glauconycteris beatrix",0,0.0412297426120114,173,0.0412297426120114,0,0,0.0575548141086749,241.5,0.0575548141086749,0
"Megaderma spasma",0,0.0414680648236416,174,0.0414680648236416,0,0,0.0470686367969495,197.5,0.0470686367969495,0
"Epomophorus minimus",0,0.0417063870352717,175,0.0417063870352717,0,0,0.0339609151572927,142.5,0.0339609151572927,0
"Kerivoula minuta",0,0.0426596758817922,179,0.0426596758817922,0,0,0.0464728312678742,195,0.0464728312678742,0
"Casinycteris argynnis",0,0.0428979980934223,180,0.0428979980934223,0,0,0.0521925643469971,219,0.0521925643469971,0
"Pteropus intermedius",0,0.0431363203050524,181,0.0431363203050524,0,0,0.0582697807435653,244.5,0.0582697807435653,0
"Phoniscus atrox",0,0.044208770257388,185.5,0.044208770257388,0,0,0.050047664442326,210,0.050047664442326,0
"Murina huttoni",0,0.0445662535748332,187,0.0445662535748332,0,0,0.0432554814108675,181.5,0.0432554814108675,0
"Scotonycteris ophiodon",0,0.0448045757864633,188,0.0448045757864633,0,0,0.0514775977121068,216,0.0514775977121068,0
"Kerivoula argentata",0,0.0450428979980934,189,0.0450428979980934,0,0,0.0445662535748332,187,0.0445662535748332,0
"Plerotes anchietae",0,0.0456387035271687,191.5,0.0456387035271687,0,0,0.0419447092469018,176,0.0419447092469018,0
"Kerivoula phalaena",0,0.0464728312678742,195,0.0464728312678742,0,0,0.0563632030505243,236.5,0.0563632030505243,0
