"","host_species","betacov","pred"
"1","Acerodon celebensis",1,0.233103537826128
"2","Anoura caudifer",0,0.0333485976863926
"3","Anoura geoffroyi",0,0.0801765797224081
"4","Antrozous pallidus",0,0.0207795230295242
"5","Artibeus cinereus",0,0.0774264406242834
"6","Artibeus fimbriatus",0,0.0716889112924155
"7","Artibeus jamaicensis",1,0.149979755765422
"8","Artibeus lituratus",1,0.12749481270102
"9","Artibeus obscurus",1,0.0563588128527684
"10","Artibeus phaeotis",1,0.143512238434507
"11","Artibeus toltecus",0,0.144777991550607
"12","Aselliscus stoliczkanus",1,0.456989047483812
"13","Barbastella barbastellus",0,0.460890286238694
"14","Cardioderma cor",0,0.160436610552598
"15","Carollia brevicauda",0,0.125967487885309
"16","Carollia perspicillata",1,0.118709213919223
"17","Carollia sowelli",1,0.147502947341405
"18","Carollia subrufa",0,0.0826025227055539
"19","Chaerephon plicatus",1,0.350287700850289
"20","Chaerephon pumilus",1,0.466578363504754
"21","Chalinolobus gouldii",0,0.116604494167717
"22","Chalinolobus morio",0,0.104934447535085
"23","Chrotopterus auritus",0,0.0245036940907203
"24","Corynorhinus townsendii",0,0.0144883357981875
"25","Cynomops abrasus",0,0.0189432433006489
"26","Cynomops planirostris",0,0.0218382045370048
"27","Cynopterus brachyotis",1,0.541260625864555
"28","Cynopterus horsfieldii",1,0.539100671393382
"29","Cynopterus sphinx",1,0.553364929475574
"30","Desmodus rotundus",1,0.0966644057571771
"31","Diaemus youngi",0,0.0797681736364027
"32","Diclidurus albus",0,0.0597374044983692
"33","Diphylla ecaudata",0,0.0908289931282612
"34","Dobsonia anderseni",0,0.0756939945225859
"35","Dobsonia moluccensis",1,0.184895896080763
"36","Dyacopterus spadiceus",1,0.573932948862859
"37","Eidolon dupreanum",1,0.193839374786825
"38","Eidolon helvum",1,0.663033149566343
"39","Eonycteris spelaea",1,0.528125787151462
"40","Epomophorus gambianus",1,0.661352642283928
"41","Epomophorus labiatus",1,0.46843291792767
"42","Epomophorus wahlbergi",0,0.355338612188059
"43","Epomops buettikoferi",1,0.566972170933463
"44","Epomops dobsonii",0,0.269483244793675
"45","Epomops franqueti",1,0.533800023573785
"46","Eptesicus brasiliensis",0,0.0349165084478785
"47","Eptesicus diminutus",0,0.0155150651645982
"48","Eptesicus furinalis",0,0.0641619790261317
"49","Eptesicus fuscus",0,0.0238888297132749
"50","Eptesicus nilssonii",1,0.382424163060991
"51","Eptesicus serotinus",1,0.484944918718031
"52","Euderma maculatum",0,0.0296872284913432
"53","Eumops auripendulus",0,0.0387457687936845
"54","Eumops glaucinus",1,0.0672113926719982
"55","Eumops patagonicus",0,0.0126467831294157
"56","Eumops perotis",0,0.035697086818156
"57","Falsistrellus mackenziei",0,0.0977022099021628
"58","Glauconycteris argentata",0,0.159193567885986
"59","Glauconycteris variegata",1,0.443367923425821
"60","Glossophaga commissarisi",0,0.0593365257616533
"61","Glossophaga longirostris",0,0.0287061143293237
"62","Glossophaga morenoi",0,0.047974780273624
"63","Glossophaga soricina",0,0.0681690885273156
"64","Hipposideros abae",0,0.342905325013039
"65","Hipposideros armiger",1,0.385827385860796
"66","Hipposideros bicolor",0,0.358661156557323
"67","Hipposideros caffer",1,0.519516345885528
"68","Hipposideros cervinus",1,0.262851612189458
"69","Hipposideros cineraceus",0,0.33825445429604
"70","Hipposideros commersoni",1,0.477431051288851
"71","Hipposideros diadema",0,0.359565069186474
"72","Hipposideros fuliginosus",1,0.344448269025142
"73","Hipposideros galeritus",1,0.347723156508065
"74","Hipposideros gigas",1,0.466096058894794
"75","Hipposideros lankadiva",0,0.339764637392194
"76","Hipposideros larvatus",1,0.391039146885014
"77","Hipposideros lekaguli",1,0.375742487322447
"78","Hipposideros pomona",1,0.382354877481299
"79","Hipposideros pratti",1,0.429724145381687
"80","Hipposideros ruber",1,0.406913082792602
"81","Hipposideros speoris",0,0.340686483525004
"82","Hipposideros vittatus",0,0.432426356427772
"83","Histiotus montanus",0,0.0178972127030994
"84","Histiotus velatus",0,0.0290312892870622
"85","Hypsignathus monstrosus",0,0.6100877111029
"86","Hypsugo pulveratus",1,0.437805428879052
"87","Hypsugo savii",1,0.466393542494152
"88","Ia io",1,0.388680444320365
"89","Lasionycteris noctivagans",0,0.0196794211444237
"90","Lasiurus blossevillii",0,0.0230888142352134
"91","Lasiurus borealis",0,0.0346813128388084
"92","Lasiurus cinereus",0,0.0208989868555788
"93","Lasiurus ega",0,0.0423669257805901
"94","Lasiurus egregius",0,0.0153805796661333
"95","Lasiurus intermedius",0,0.0613735714116739
"96","Lasiurus seminolus",0,0.0474630194609104
"97","Lasiurus xanthinus",0,0.0349221853714139
"98","Leptonycteris curasoae",0,0.041902369645687
"99","Leptonycteris nivalis",0,0.0886209535981568
"100","Lichonycteris obscura",0,0.0722203597271896
"101","Lissonycteris angolensis",1,0.61514904082032
"102","Lonchophylla robusta",0,0.0210352022801058
"103","Lonchorhina aurita",0,0.0229612225160291
"104","Lophostoma silvicolum",0,0.0170922426754045
"105","Macroglossus minimus",1,0.547247413335908
"106","Macrotus californicus",0,0.022123799954144
"107","Megaerops ecaudatus",1,0.58516045754973
"108","Megaerops kusnotoi",1,0.334542806877675
"109","Megaerops niphanae",1,0.60740957701012
"110","Megaloglossus woermanni",1,0.522525091178122
"111","Mesophylla macconnelli",0,0.0524176706788292
"112","Micronycteris megalotis",0,0.0136174990292316
"113","Micropteropus pusillus",1,0.63080392188713
"114","Mimon crenulatum",0,0.017758868306159
"115","Miniopterus australis",0,0.0210592714320152
"116","Miniopterus inflatus",0,0.184371017114015
"117","Miniopterus magnater",0,0.418655563426788
"118","Miniopterus natalensis",0,0.0723452202760325
"119","Miniopterus pusillus",0,0.361283424247584
"120","Miniopterus schreibersii",1,0.497661146565476
"121","Molossops neglectus",0,0.0127026407849677
"122","Molossus molossus",0,0.0639654137619648
"123","Molossus rufus",0,0.0545098493295509
"124","Mops condylurus",1,0.476515688567829
"125","Mormoops megalophylla",0,0.0481634709193115
"126","Murina aurata",0,0.332532771167824
"127","Murina leucogaster",0,0.376742055015931
"128","Myonycteris torquata",1,0.608759442525994
"129","Myotis albescens",0,0.0343007051240207
"130","Myotis austroriparius",0,0.0378556483631089
"131","Myotis blythii",0,0.201358632547896
"132","Myotis brandtii",0,0.478224270842696
"133","Myotis californicus",0,0.0210911026071321
"134","Myotis capaccinii",0,0.466476231098144
"135","Myotis chiloensis",0,0.00716199020760189
"136","Myotis dasycneme",1,0.385001188444217
"137","Myotis daubentonii",1,0.478381178615668
"138","Myotis davidii",0,0.0598871428021099
"139","Myotis emarginatus",1,0.394010603576435
"140","Myotis evotis",0,0.0133775688621857
"141","Myotis grisescens",0,0.0347997393346548
"142","Myotis horsfieldii",1,0.337074957312358
"143","Myotis keenii",0,0.0195098040034021
"144","Myotis leibii",0,0.0349364260592342
"145","Myotis levis",0,0.0117797363598174
"146","Myotis longipes",0,0.286953863012105
"147","Myotis lucifugus",0,0.0710357569172697
"148","Myotis macrodactylus",0,0.183546960812017
"149","Myotis macropus",0,0.0272179534503007
"150","Myotis myotis",0,0.381112041105795
"151","Myotis mystacinus",0,0.0598871428021099
"152","Myotis nattereri",0,0.38511170841599
"153","Myotis nigricans",0,0.0446826274546501
"154","Myotis pequinius",1,0.274958029594434
"155","Myotis punicus",1,0.447510452462677
"156","Myotis ricketti",1,0.403391259139436
"157","Myotis riparius",0,0.0285619276468015
"158","Myotis septentrionalis",0,0.0201443770960677
"159","Myotis thysanodes",0,0.0256448293189895
"160","Myotis velifer",0,0.0517283592055278
"161","Myotis volans",0,0.0194638250473667
