"","host","virus","presence","suitability"
"215","Pteronotus parnellii","Betacoronavirus",1,5.65289118148014e+295
"2674","Carollia brevicauda","Betacoronavirus",0,1.25319420274545e+286
"212","Plecotus auritus","Betacoronavirus",1,6.44840088016084e+285
"203","Pipistrellus abramus","Betacoronavirus",1,3.98555754306889e+285
"237","Rhinopoma hardwickii","Betacoronavirus",1,4.84016417265693e+267
"204","Pipistrellus coromandra","Betacoronavirus",1,4.11219440653904e+267
"159","Eumops glaucinus","Betacoronavirus",1,4.08388976177746e+267
"181","Megaloglossus woermanni","Betacoronavirus",1,3.99825021139547e+267
"155","Epomops buettikoferi","Betacoronavirus",1,2.54064814826558e+240
"148","Dyacopterus spadiceus","Betacoronavirus",1,2.61078189423466e+211
"196","Neoromicia somalicus","Betacoronavirus",1,1.91228371254358e+211
"151","Emballonura alecto","Betacoronavirus",1,1.0099048735646e+211
"178","Megaerops ecaudatus","Betacoronavirus",1,8.92931814804166e+210
"2673","Cardioderma cor","Betacoronavirus",0,5.73158895351443e+210
"2779","Epomophorus wahlbergi","Betacoronavirus",0,4.8529808043651e+210
"3317","Pipistrellus hesperus","Betacoronavirus",0,3.8260973214008e+210
"3602","Vampyrodes caraccioli","Betacoronavirus",0,2.36484661095714e+209
"2987","Lonchophylla robusta","Betacoronavirus",0,8.83468452966368e+208
"2784","Eptesicus brasiliensis","Betacoronavirus",0,3.11959825725612e+207
"3024","Mimon crenulatum","Betacoronavirus",0,1.37573338694675e+207
"2780","Epomops dobsonii","Betacoronavirus",0,8.55751121964405e+206
"150","Eidolon helvum","Betacoronavirus",1,1.3528887919864e+194
"135","Artibeus lituratus","Betacoronavirus",1,2.07736232362708e+191
"149","Eidolon dupreanum","Betacoronavirus",1,2.49038109788088e+189
"3364","Pteronotus quadridens","Betacoronavirus",0,4.54650963093266e+182
"250","Vespertilio sinensis","Betacoronavirus",1,2.193914074389e+176
"249","Vespertilio murinus","Betacoronavirus",1,3.71673884860974e+175
"3594","Uroderma bilobatum","Betacoronavirus",0,2.36921889440052e+174
"3595","Uroderma magnirostrum","Betacoronavirus",0,2.24904221098845e+174
"158","Eptesicus serotinus","Betacoronavirus",1,2.98892555597717e+172
"3415","Pteropus temminckii","Betacoronavirus",0,2.2130033846441e+165
"3127","Myotis californicus","Betacoronavirus",0,1.46673021011395e+148
"3128","Myotis capaccinii","Betacoronavirus",0,7.09574823223322e+147
"248","Tylonycteris pachypus","Betacoronavirus",1,5.85719474451745e+146
"3593","Tylonycteris robustula","Betacoronavirus",0,5.76595739361615e+146
"3308","Phyllostomus elongatus","Betacoronavirus",0,2.25126764924854e+127
"3310","Phyllostomus latifolius","Betacoronavirus",0,5.51639774235916e+126
"3309","Phyllostomus hastatus","Betacoronavirus",0,3.4028991718035e+126
"3307","Phyllostomus discolor","Betacoronavirus",0,3.36918467723711e+126
"3057","Mops brachypterus","Betacoronavirus",0,1.1237038091986e+126
"3213","Neoromicia brunneus","Betacoronavirus",0,2.15374239099764e+123
"3130","Myotis chinensis","Betacoronavirus",0,1.78814701735679e+122
"156","Epomops franqueti","Betacoronavirus",1,9.2235270825099e+121
"140","Carollia sowelli","Betacoronavirus",1,1.10824417196814e+120
"139","Carollia perspicillata","Betacoronavirus",1,1.23274841828815e+119
"2676","Carollia colombiana","Betacoronavirus",0,1.19199348823415e+119
