"","host","virus","presence","suitability"
"4405","Acerodon celebensis","Betacoronavirus",1,0.493257746318137
"4406","Acinonyx jubatus","Betacoronavirus",0,0.388449192708346
"4407","Aepyceros melampus","Betacoronavirus",0,0.319693806499502
"4408","Akodon azarae","Betacoronavirus",0,0.296713938454818
"4409","Akodon montensis","Betacoronavirus",0,0.442299748138695
"4410","Alcelaphus buselaphus","Betacoronavirus",0,0.326931404879653
"4411","Alces alces","Betacoronavirus",0,0.323821206369816
"4412","Alouatta caraya","Betacoronavirus",0,0.598177859725381
"4413","Alouatta palliata","Betacoronavirus",0,0.466507028997942
"4414","Alouatta pigra","Betacoronavirus",0,0.466507028997942
"4415","Alouatta seniculus","Betacoronavirus",0,0.296713938454818
"4416","Ammospermophilus nelsoni","Betacoronavirus",0,0.598177859725381
"4417","Ammotragus lervia","Betacoronavirus",0,0.253531516522184
"4418","Anoura caudifer","Betacoronavirus",0,0.368754936747572
"4419","Anoura geoffroyi","Betacoronavirus",0,0.536058955477603
"4420","Antidorcas marsupialis","Betacoronavirus",0,0.218394395554617
"4421","Antilocapra americana","Betacoronavirus",0,0.423757608064895
"4422","Antilope cervicapra","Betacoronavirus",0,0.262024030527819
"4423","Antrozous pallidus","Betacoronavirus",0,0.593254414531072
"4424","Aotus azarae","Betacoronavirus",0,0.210463990014676
"4425","Aotus trivirgatus","Betacoronavirus",0,0.332085685799112
"4426","Apodemus agrarius","Betacoronavirus",1,0.916431348086131
"4427","Apodemus argenteus","Betacoronavirus",0,0.442299748138695
"4428","Apodemus chevrieri","Betacoronavirus",0,0.368754936747572
"4429","Apodemus flavicollis","Betacoronavirus",0,0.299931600432505
"4430","Apodemus speciosus","Betacoronavirus",0,0.442299748138695
"4431","Apodemus sylvaticus","Betacoronavirus",0,0.266270724092293
"4432","Artibeus cinereus","Betacoronavirus",0,1.02317095474501
"4433","Artibeus fimbriatus","Betacoronavirus",0,0.593254414531072
"4434","Artibeus jamaicensis","Betacoronavirus",1,1.56126728465947
"4435","Artibeus lituratus","Betacoronavirus",1,1.29766267559649
"4436","Artibeus obscurus","Betacoronavirus",1,0.493257746318137
"4437","Artibeus phaeotis","Betacoronavirus",1,1.3920709996623
"4438","Artibeus toltecus","Betacoronavirus",0,0.442299748138695
"4439","Arvicanthis niloticus","Betacoronavirus",0,0.515304016215721
"4440","Arvicola amphibius","Betacoronavirus",0,0.442299748138695
"4441","Arvicola scherman","Betacoronavirus",0,0.193454304399861
"4442","Aselliscus stoliczkanus","Betacoronavirus",1,0.493257746318137
"4443","Atelerix albiventris","Betacoronavirus",0,0.29497799401789
"4444","Ateles geoffroyi","Betacoronavirus",0,0.195653772249745
"4445","Ateles paniscus","Betacoronavirus",0,0.442299748138695
"4446","Atilax paludinosus","Betacoronavirus",0,0.593254414531072
"4447","Axis axis","Betacoronavirus",0,0.262024030527819
"4448","Baiomys taylori","Betacoronavirus",0,0.227812839370122
"4449","Balaenoptera borealis","Betacoronavirus",0,0.176563354796635
"4450","Balaenoptera physalus","Betacoronavirus",0,0.176563354796635
"4451","Bandicota indica","Betacoronavirus",0,0.182135253491589
"4452","Barbastella barbastellus","Betacoronavirus",0,1.02317095474501
"4453","Bassaricyon gabbii","Betacoronavirus",0,0.227812839370122
"4454","Bison bison","Betacoronavirus",0,0.401072437050545
"4455","Bison bonasus","Betacoronavirus",0,0.208273708483633
"4456","Blastocerus dichotomus","Betacoronavirus",0,0.198131203138041
"4457","Bos frontalis","Betacoronavirus",0,0.239207067932689
"4458","Bos grunniens","Betacoronavirus",0,0.220717160000819
"4459","Bos javanicus","Betacoronavirus",0,0.194168684689731
"4460","Bos taurus","Betacoronavirus",1,0.343692417265063
"4461","Boselaphus tragocamelus","Betacoronavirus",0,0.198131203138041
"4462","Bradypus tridactylus","Betacoronavirus",0,0.678195243032136
"4463","Bradypus variegatus","Betacoronavirus",0,0.46512212239929
"4464","Bubalus bubalis","Betacoronavirus",1,0.449595878955466
"4465","Cabassous centralis","Betacoronavirus",0,0.227812839370122
"4466","Callithrix geoffroyi","Betacoronavirus",0,0.227812839370122
"4467","Callithrix jacchus","Betacoronavirus",0,0.196624132631726
"4468","Callithrix leucippe","Betacoronavirus",0,0.598177859725381
"4469","Calomys callosus","Betacoronavirus",0,0.222470155755468
"4470","Calomys musculinus","Betacoronavirus",0,0.442299748138695
"4471","Caluromys derbianus","Betacoronavirus",0,0.227812839370122
"4472","Caluromys philander","Betacoronavirus",0,0.390872287554385
"4473","Camelus dromedarius","Betacoronavirus",1,0.637823343994158
"4474","Canis adustus","Betacoronavirus",0,0.58911824845208
"4475","Canis aureus","Betacoronavirus",0,0.240676379757654
"4476","Canis latrans","Betacoronavirus",0,0.694541856409767
"4477","Canis lupus","Betacoronavirus",1,0.566924804637656
"4478","Canis mesomelas","Betacoronavirus",0,0.719528374965248
"4479","Canis simensis","Betacoronavirus",0,0.422758694191908
"4480","Capra hircus","Betacoronavirus",0,0.426745328549083
"4481","Capra ibex","Betacoronavirus",0,0.197560609985154
"4482","Capra pyrenaica","Betacoronavirus",0,0.240676379757654
"4483","Capreolus capreolus","Betacoronavirus",0,0.279380140704284
"4484","Capricornis crispus","Betacoronavirus",0,0.186883094170468
"4485","Caracal caracal","Betacoronavirus",0,0.18868891144311
"4486","Cardioderma cor","Betacoronavirus",0,0.368754936747572
"4487","Carollia brevicauda","Betacoronavirus",0,0.839449266308155
"4488","Carollia perspicillata","Betacoronavirus",1,1.56126728465947
"4489","Carollia sowelli","Betacoronavirus",1,0.493257746318137
"4490","Carollia subrufa","Betacoronavirus",0,0.296713938454818
"4491","Castor fiber","Betacoronavirus",0,0.193454304399861
"4492","Cavia porcellus","Betacoronavirus",1,0.282180627485389
"4493","Cebus apella","Betacoronavirus",0,0.261822133062191
"4494","Cebus capucinus","Betacoronavirus",0,0.227812839370122
"4495","Cephalophus callipygus","Betacoronavirus",0,0.167715326884951
"4496","Cephalophus dorsalis","Betacoronavirus",0,0.354785779341086
"4497","Cephalophus leucogaster","Betacoronavirus",0,0.354785779341086
"4498","Cephalophus nigrifrons","Betacoronavirus",0,0.253531516522184
"4499","Cephalophus weynsi","Betacoronavirus",0,0.253531516522184
"4500","Ceratotherium simum","Betacoronavirus",0,0.254624414282731
"4501","Cercocebus agilis","Betacoronavirus",0,0.172773115115926
"4502","Cercocebus atys","Betacoronavirus",0,0.18013996273095
"4503","Cercocebus galeritus","Betacoronavirus",0,0.18013996273095
"4504","Cercopithecus ascanius","Betacoronavirus",0,0.417536366159701
"4505","Cercopithecus cephus","Betacoronavirus",0,0.18013996273095
"4506","Cercopithecus mitis","Betacoronavirus",0,0.172228218512479
"4507","Cercopithecus mona","Betacoronavirus",0,0.342120407639363
"4508","Cercopithecus neglectus","Betacoronavirus",0,0.18013996273095
"4509","Cercopithecus nictitans","Betacoronavirus",0,0.18554762991844
"4510","Cercopithecus petaurista","Betacoronavirus",0,0.193454304399861
"4511","Cercopithecus pogonias","Betacoronavirus",0,0.296713938454818
"4512","Cerdocyon thous","Betacoronavirus",0,0.210463990014676
"4513","Cervus elaphus","Betacoronavirus",0,0.266982413270851
"4514","Cervus nippon","Betacoronavirus",0,0.250187511547476
"4515","Chaerephon plicatus","Betacoronavirus",1,0.560227153668581
"4516","Chaerephon pumilus","Betacoronavirus",1,1.24676021715342
"4517","Chaetodipus spinatus","Betacoronavirus",0,0.261822133062191
"4518","Chaetophractus vellerosus","Betacoronavirus",0,0.166079670961366
"4519","Chalinolobus gouldii","Betacoronavirus",0,0.368754936747572
"4520","Chalinolobus morio","Betacoronavirus",0,0.368754936747572
"4521","Chironectes minimus","Betacoronavirus",0,0.227812839370122
"4522","Chlorocebus aethiops","Betacoronavirus",1,0.469398327891019
"4523","Chlorocebus pygerythrus","Betacoronavirus",0,0.172333772484935
"4524","Chlorocebus sabaeus","Betacoronavirus",0,0.209096943657603
"4525","Choloepus didactylus","Betacoronavirus",0,0.296713938454818
