"","host","virus","presence","suitability"
"4405","Acerodon celebensis","Betacoronavirus",1,0.92673980085002
"4406","Acinonyx jubatus","Betacoronavirus",0,0.732049274505779
"4407","Aepyceros melampus","Betacoronavirus",0,0.601666736126521
"4408","Akodon azarae","Betacoronavirus",0,0.557552161141828
"4409","Akodon montensis","Betacoronavirus",0,0.832647212461633
"4410","Alcelaphus buselaphus","Betacoronavirus",0,0.615502466354116
"4411","Alces alces","Betacoronavirus",0,0.609560217245474
"4412","Alouatta caraya","Betacoronavirus",0,1.11746728863148
"4413","Alouatta palliata","Betacoronavirus",0,0.877472853004218
"4414","Alouatta pigra","Betacoronavirus",0,0.877472853004218
"4415","Alouatta seniculus","Betacoronavirus",0,0.557552161141828
"4416","Ammospermophilus nelsoni","Betacoronavirus",0,1.11746728863148
"4417","Ammotragus lervia","Betacoronavirus",0,0.473844500422323
"4418","Anoura caudifer","Betacoronavirus",0,0.694936104316602
"4419","Anoura geoffroyi","Betacoronavirus",0,1.00501012027049
"4420","Antidorcas marsupialis","Betacoronavirus",0,0.404875539463642
"4421","Antilocapra americana","Betacoronavirus",0,0.79814945391416
"4422","Antilope cervicapra","Betacoronavirus",0,0.490394791156245
"4423","Antrozous pallidus","Betacoronavirus",0,1.10860095504236
"4424","Aotus azarae","Betacoronavirus",0,0.389193037022246
"4425","Aotus trivirgatus","Betacoronavirus",0,0.625339060260194
"4426","Apodemus agrarius","Betacoronavirus",1,1.67601053775574
"4427","Apodemus argenteus","Betacoronavirus",0,0.832647212461633
"4428","Apodemus chevrieri","Betacoronavirus",0,0.694936104316602
"4429","Apodemus flavicollis","Betacoronavirus",0,0.563746450528232
"4430","Apodemus speciosus","Betacoronavirus",0,0.832647212461633
"4431","Apodemus sylvaticus","Betacoronavirus",0,0.498654202810347
"4432","Artibeus cinereus","Betacoronavirus",0,1.85786409857108
"4433","Artibeus fimbriatus","Betacoronavirus",0,1.10860095504236
"4434","Artibeus jamaicensis","Betacoronavirus",1,2.7432323696815
"4435","Artibeus lituratus","Betacoronavirus",1,2.3154181679023
"4436","Artibeus obscurus","Betacoronavirus",1,0.92673980085002
"4437","Artibeus phaeotis","Betacoronavirus",1,2.46982968958955
"4438","Artibeus toltecus","Betacoronavirus",0,0.832647212461633
"4439","Arvicanthis niloticus","Betacoronavirus",0,0.967139070688774
"4440","Arvicola amphibius","Betacoronavirus",0,0.832647212461633
"4441","Arvicola scherman","Betacoronavirus",0,0.355400701554088
"4442","Aselliscus stoliczkanus","Betacoronavirus",1,0.92673980085002
"4443","Atelerix albiventris","Betacoronavirus",0,0.554207920874188
"4444","Ateles geoffroyi","Betacoronavirus",0,0.35978258998437
"4445","Ateles paniscus","Betacoronavirus",0,0.832647212461633
"4446","Atilax paludinosus","Betacoronavirus",0,1.10860095504236
"4447","Axis axis","Betacoronavirus",0,0.490394791156245
"4448","Baiomys taylori","Betacoronavirus",0,0.42344338287892
"4449","Balaenoptera borealis","Betacoronavirus",0,0.321621407529011
"4450","Balaenoptera physalus","Betacoronavirus",0,0.321621407529011
"4451","Bandicota indica","Betacoronavirus",0,0.332790003145743
"4452","Barbastella barbastellus","Betacoronavirus",0,1.85786409857108
"4453","Bassaricyon gabbii","Betacoronavirus",0,0.42344338287892
"4454","Bison bison","Betacoronavirus",0,0.755744142558282
"4455","Bison bonasus","Betacoronavirus",0,0.384853759863293
"4456","Blastocerus dichotomus","Betacoronavirus",0,0.364713793851314
"4457","Bos frontalis","Betacoronavirus",0,0.445825982863951
"4458","Bos grunniens","Betacoronavirus",0,0.409460422851223
"4459","Bos javanicus","Betacoronavirus",0,0.356824335681701
"4460","Bos taurus","Betacoronavirus",1,0.647440151646809
"4461","Boselaphus tragocamelus","Betacoronavirus",0,0.364713793851314
"4462","Bradypus tridactylus","Betacoronavirus",0,1.26050691256535
"4463","Bradypus variegatus","Betacoronavirus",0,0.87491468757968
"4464","Bubalus bubalis","Betacoronavirus",1,0.846182675908769
"4465","Cabassous centralis","Betacoronavirus",0,0.42344338287892
"4466","Callithrix geoffroyi","Betacoronavirus",0,0.42344338287892
"4467","Callithrix jacchus","Betacoronavirus",0,0.361714604214122
"4468","Callithrix leucippe","Betacoronavirus",0,1.11746728863148
"4469","Calomys callosus","Betacoronavirus",0,0.412918155909761
"4470","Calomys musculinus","Betacoronavirus",0,0.832647212461633
"4471","Caluromys derbianus","Betacoronavirus",0,0.42344338287892
"4472","Caluromys philander","Betacoronavirus",0,0.736603188337454
"4473","Camelus dromedarius","Betacoronavirus",1,1.18858222973119
"4474","Canis adustus","Betacoronavirus",0,1.10114630819894
"4475","Canis aureus","Betacoronavirus",0,0.448706022259277
"4476","Canis latrans","Betacoronavirus",0,1.28949349479261
"4477","Canis lupus","Betacoronavirus",1,1.06105071292999
"4478","Canis mesomelas","Betacoronavirus",0,1.33365458850378
"4479","Canis simensis","Betacoronavirus",0,0.796286862114182
"4480","Capra hircus","Betacoronavirus",0,0.803717878755208
"4481","Capra ibex","Betacoronavirus",0,0.363578472270409
"4482","Capra pyrenaica","Betacoronavirus",0,0.448706022259277
"4483","Capreolus capreolus","Betacoronavirus",0,0.524082679045355
"4484","Capricornis crispus","Betacoronavirus",0,0.342286662564773
"4485","Caracal caracal","Betacoronavirus",0,0.345893901356877
"4486","Cardioderma cor","Betacoronavirus",0,0.694936104316602
