"","Alphacoronavirus","Alphapapillomavirus","Alphavirus","Aphthovirus","Asfivirus","Atadenovirus","Betacoronavirus","Betaretrovirus","Capripoxvirus","Cardiovirus","Circovirus","Coltivirus","Cytomegalovirus","Deltacoronavirus","Deltapapillomavirus","Deltaretrovirus","Ebolavirus","Enterovirus","Ephemerovirus","Epsilonpapillomavirus","Erbovirus","Flavivirus","Gammacoronavirus","Gammaretrovirus","Henipavirus","Hepacivirus","Hepatovirus","Ictalurivirus","Iotapapillomavirus","Kappapapillomavirus","Lagovirus","Lambdapapillomavirus","Lentivirus","Leporipoxvirus","Lymphocryptovirus","Lyssavirus","Mamastrovirus","Marburgvirus","Mastadenovirus","Metapneumovirus","Morbillivirus","Muromegalovirus","Norovirus","Nucleorhabdovirus","Omikronpapillomavirus","Orbivirus","Orthobunyavirus","Orthohepadnavirus","Orthopoxvirus","Orthoreovirus","Parapoxvirus","Parechovirus","Pestivirus","Phlebovirus","Picobirnavirus","Pipapillomavirus","Respirovirus","Rhadinovirus","Rotavirus","Sapovirus","Seadornavirus","Simplexvirus","Suipoxvirus","Teschovirus","Thogotovirus","Torovirus","Varicellovirus","Vesiculovirus","Vesivirus","Xipapillomavirus","Yatapoxvirus","Zetapapillomavirus"
"Eidolon_helvum",0.427559557328934,0.000361895857236107,0.0701957520866331,0.0377971135620508,0.0377971135620558,0.0377971135620554,0.496442469620065,0.000878889938992591,0.000595377055445587,0.037797113562048,0.0377971135620506,0.0438315977029394,0.000595377055449512,0.149627962047222,0.000361895857231189,0.000878889938991493,0.304923990191711,0.0377971135620475,0.0377971135620488,0.00036189585723248,0.0377971135620506,0.345919980194182,0.149627962047225,0.000878889938993305,0.474742244391607,0.0377971135620509,0.0377971135620489,0.0377971135620549,0.000361895857231785,0.000361895857231313,0.0377971135620516,0.00036189585723189,0.000878889938992778,0.000595377055445572,0.00059537705545055,0.406668488743385,0.0377971135620464,0.0673706063642827,0.0377971135620516,0.0377971135620502,0.113912757651278,0.000595377055449825,0.0377971135620484,0.0377971135620472,0.000361895857232687,0.252546144688518,0.268912334623803,0.0369034642551258,0.000595377055446024,0.0593500210288937,0.000595377055447446,0.0377971135620455,0.0377971135620539,0.0513889619192101,0.0377971135620462,0.000361895857233017,0.113912757651279,0.00059537705545021,0.0438315977029396,0.037797113562052,0.0438315977029416,0.000595377055449322,0.000595377055446368,0.0377971135620564,0.0377971135620472,0.00307611478647053,0.000595377055449292,0.0390632761963973,0.0377971135620531,0.000361895857233077,0.0005953770554465,0.000361895857233123
"Epomophorus_gambianus",0.388040001799168,0.000271752499601748,0.0646383990045529,0.0271252285902963,0.0271252285903025,0.0271252285903007,0.578294779323191,0.00065997035617914,0.000447076692894757,0.0271252285902947,0.0271252285902931,0.00625079143144428,0.000447076692898118,0.156307525261017,0.000271752499602284,0.000659970356178193,0.183083215094308,0.0271252285902927,0.0271252285902934,0.000271752499602368,0.0271252285902943,0.114521380587277,0.156307525261021,0.000659970356179548,0.289165312749254,0.0271252285902976,0.0271252285902963,0.0271252285902985,0.000271752499601801,0.000271752499601469,0.0271252285902969,0.000271752499601905,0.000659970356179016,0.000447076692893888,0.000447076692899206,0.345303305621435,0.027125228590294,0.100540047214223,0.0271252285902959,0.0271252285902944,0.0695088543440932,0.000447076692898347,0.027125228590294,0.0271252285902917,0.00027175249960212,0.0169409448388864,0.166722879217083,0.0293890491188428,0.000447076692894797,0.0252928779715674,0.000447076692895911,0.0271252285902913,0.0271252285902978,0.0982856790435374,0.0271252285902914,0.000271752499602357,0.0695088543440959,0.000447076692898888,0.00625079143144402,0.0271252285902941,0.006250791431445,0.000447076692898141,0.000447076692895147,0.0271252285903015,0.0271252285902931,0.00230989624662883,0.000447076692898356,0.0394288161133284,0.0271252285902995,0.000271752499601961,0.000447076692895085,0.000271752499602107
"Epomops_franqueti",0.210025833576313,0.000186290050976538,0.0632958949809568,0.0343172401856714,0.0343172401856797,0.0343172401856768,0.428776639035841,0.000452418695243628,0.00030647718064761,0.0343172401856734,0.0343172401856681,0.00323613859842701,0.000306477180650901,0.103339134053574,0.000186290050979645,0.000452418695243463,0.293752122289649,0.0343172401856706,0.0343172401856675,0.000186290050979978,0.0343172401856718,0.0688459298026485,0.103339134053578,0.000452418695244301,0.15260699717946,0.0343172401856727,0.0343172401856716,0.0343172401856757,0.000186290050979166,0.000186290050979142,0.0343172401856733,0.000186290050979483,0.000452418695244058,0.000306477180647018,0.000306477180651231,0.218274986711695,0.0343172401856702,0.244885390144202,0.0343172401856736,0.0343172401856708,0.0367874180236833,0.000306477180650768,0.0343172401856698,0.0343172401856697,0.000186290050979518,0.0140249739171959,0.253561920057428,0.032503912484112,0.00030647718064781,0.00737506547146379,0.000306477180648664,0.0343172401856693,0.0343172401856766,0.218731667839325,0.0343172401856709,0.000186290050979743,0.036787418023686,0.00030647718065137,0.00323613859842699,0.03431724018567,0.00323613859842775,0.000306477180650378,0.000306477180648058,0.0343172401856778,0.0343172401856693,0.00158346543335676,0.000306477180650715,0.0524355530054825,0.0343172401856791,0.000186290050979266,0.000306477180647925,0.000186290050979432
"Hypsignathus_monstrosus",0.142528357105698,0.000201291624780347,0.0445569306390301,0.0255279647829798,0.0255279647829881,0.025527964782987,0.222968899741856,0.000488851088751259,0.00033115718915251,0.0255279647829808,0.0255279647829776,0.00407665917044846,0.000331157189156319,0.0592823276484342,0.00020129162477745,0.000488851088751183,0.309165672529814,0.0255279647829804,0.0255279647829759,0.00020129162477844,0.0255279647829833,0.0744413260985732,0.0592823276484383,0.000488851088751429,0.430971852437275,0.02552796478298,0.0255279647829811,0.0255279647829851,0.000201291624777734,0.000201291624777621,0.025527964782982,0.000201291624777909,0.00048885108875132,0.000331157189152723,0.000331157189156637,0.170290374717909,0.0255279647829788,0.266667621963549,0.0255279647829817,0.0255279647829798,0.103101196907149,0.000331157189156164,0.0255279647829801,0.0255279647829795,0.000201291624778325,0.0152405217636732,0.0852597368005987,0.0246261701366727,0.000331157189153022,0.0120582496908044,0.000331157189153994,0.025527964782979,0.0255279647829843,0.0722302343725834,0.0255279647829806,0.000201291624779034,0.103101196907151,0.000331157189156518,0.00407665917044827,0.0255279647829799,0.00407665917044887,0.000331157189155809,0.000331157189153105,0.0255279647829877,0.0255279647829788,0.00171097881062894,0.000331157189155785,0.0279888720104072,0.0255279647829861,0.000201291624778796,0.000331157189153124,0.000201291624778967
"Micropteropus_pusillus",0.340238617860116,0.000195719718518064,0.0118171293099219,0.0206172452065789,0.0206172452065872,0.0206172452065843,0.49708331414002,0.000475319316402677,0.000321990504659737,0.0206172452065769,0.020617245206576,0.00530539762744926,0.000321990504661801,0.135373915020809,0.00019571971851758,0.000475319316402015,0.246314986804979,0.0206172452065763,0.0206172452065737,0.000195719718518258,0.0206172452065781,0.0585332654306582,0.135373915020814,0.000475319316403236,0.104587948169792,0.0206172452065802,0.0206172452065806,0.0206172452065811,0.000195719718517139,0.000195719718517239,0.0206172452065797,0.000195719718517474,0.000475319316402803,0.000321990504658916,0.000321990504662933,0.244932319360622,0.0206172452065767,0.0525350095465439,0.0206172452065785,0.0206172452065779,0.0253772117377778,0.000321990504662121,0.0206172452065766,0.0206172452065749,0.000195719718517651,0.0231910576906992,0.074593774241065,0.0181159661020685,0.000321990504659752,0.0130114640980502,0.000321990504660691,0.0206172452065732,0.0206172452065816,0.170428345538897,0.0206172452065756,0.000195719718517916,0.0253772117377801,0.000321990504662547,0.00530539762744917,0.0206172452065759,0.00530539762744987,0.00032199050466168,0.000321990504660076,0.0206172452065838,0.0206172452065757,0.00166361760741066,0.000321990504662012,-0.00921938974602222,0.020617245206583,0.000195719718517643,0.000321990504660045,0.000195719718517861
"Miniopterus_inflatus",0.495686632292434,0.000136796399228546,0.0335077378999112,0.0131807163213685,0.0131807163213745,0.0131807163213758,0.23919665403351,0.000332219826664409,0.000225052140645011,0.0131807163213675,0.013180716321367,0.000483234167328761,0.000225052140646171,0.118754614451282,0.000136796399219057,0.000332219826663675,0.0120930220739517,0.0131807163213682,0.0131807163213672,0.000136796399219569,0.0131807163213675,0.061798992407311,0.118754614451289,0.000332219826663481,-0.00956324808469271,0.0131807163213699,0.0131807163213705,0.0131807163213677,0.00013679639922026,0.000136796399219823,0.0131807163213679,0.000136796399219787,0.000332219826663293,0.000225052140644301,0.000225052140647553,0.143264459281108,0.01318071632137,0.165913889180095,0.0131807163213674,0.0131807163213689,-0.00194474400302874,0.000225052140646998,0.0131807163213705,0.013180716321363,0.000136796399220318,0.00125178046681483,0.0226632145136481,0.0130774422233078,0.000225052140644803,0.000832182265966421,0.000225052140644822,0.0131807163213667,0.0131807163213696,0.0614282882175034,0.0131807163213697,0.000136796399220827,-0.00194474400302791,0.000225052140646635,0.00048323416732896,0.0131807163213683,0.000483234167329616,0.000225052140645692,0.0002250521406444,0.0131807163213754,0.0131807163213698,0.00116276939331465,0.00022505214064614,0.0410838596927553,0.0131807163213753,0.000136796399221856,0.000225052140644033,0.000136796399221479
"Miniopterus_schreibersii",0.573428879016145,0.000198743766116369,0.0832144105928161,0.0246822977181974,0.0246822977182025,0.0246822977182021,0.420676325497,0.000482663431970793,0.000326965550691145,0.024682297718194,0.0246822977181962,0.000735719816377387,0.000326965550692661,0.160666514665717,0.000198743766108713,0.000482663431969666,0.0289450471728375,0.0246822977181945,0.0246822977181952,0.000198743766108937,0.0246822977181954,0.267715415675074,0.160666514665722,0.000482663431970656,0.0125615843286274,0.0246822977181977,0.0246822977181976,0.0246822977181954,0.000198743766109396,0.000198743766109157,0.0246822977181954,0.000198743766109186,0.000482663431970285,0.000326965550690354,0.000326965550694068,0.264215210048346,0.0246822977181962,0.0598364350169059,0.0246822977181973,0.0246822977181973,0.00347351684354521,0.000326965550693816,0.0246822977181971,0.0246822977181908,0.000198743766109913,0.00213971635564828,0.0304539426188866,0.0248252997181425,0.00032696555069057,0.00113027990799499,0.000326965550691055,0.0246822977181917,0.0246822977181975,0.239721074840085,0.0246822977181948,0.00019874376610987,0.00347351684354595,0.000326965550693392,0.000735719816377453,0.0246822977181951,0.0007357198163779,0.000326965550692465,0.000326965550690505,0.0246822977182003,0.0246822977181952,0.00168932201189281,0.000326965550692937,0.0406389416104511,0.0246822977182032,0.000198743766111067,0.000326965550690541,0.000198743766110541
"Mops_condylurus",0.399394340625462,0.000145380132945657,0.0910933936662221,0.0162343014884858,0.0162343014884918,0.016234301488493,0.346276580959009,0.000353066037139846,0.000239173767095378,0.0162343014884826,0.0162343014884856,-0.000623209854140425,0.000239173767096865,0.120508677248462,0.000145380132941629,0.00035306603713935,0.0204389942602971,0.0162343014884834,0.016234301488486,0.000145380132941808,0.016234301488482,0.129734174262124,0.120508677248468,0.000353066037139969,0.00918955406851694,0.0162343014884892,0.0162343014884885,0.016234301488484,0.000145380132942071,0.000145380132941823,0.0162343014884865,0.000145380132941764,0.000353066037139055,0.000239173767094148,0.000239173767098353,0.257595671262052,0.0162343014884858,0.0183399006644395,0.0162343014884821,0.0162343014884845,0.00254105510106853,0.000239173767097595,0.0162343014884866,0.0162343014884784,0.000145380132942149,-0.00667117989830529,0.112930378243433,0.0152919637307338,0.000239173767095162,0.000701191592513707,0.000239173767095727,0.0162343014884807,0.0162343014884875,0.0161673707602938,0.0162343014884837,0.000145380132942402,0.00254105510106906,0.000239173767097492,-0.000623209854140418,0.0162343014884852,-0.000623209854139724,0.000239173767096579,0.00023917376709531,0.0162343014884934,0.0162343014884852,0.00123573112998768,0.000239173767097046,0.0220127986085166,0.0162343014884892,0.000145380132942792,0.000239173767095061,0.000145380132942579
"Myonycteris_torquata",0.2431710757536,0.000164288397109506,0.0353129459039297,0.0185106618793674,0.0185106618793747,0.0185106618793722,0.413160043636868,0.000398986107271437,0.000270280911377211,0.0185106618793643,0.0185106618793647,0.00792781484605862,0.000270280911379159,0.106130138877579,0.000164288397109827,0.000398986107270988,0.250086347317619,0.0185106618793646,0.0185106618793632,0.000164288397110497,0.018510661879367,0.0887353902045284,0.106130138877584,0.000398986107272009,0.0996557830308112,0.0185106618793691,0.0185106618793694,0.0185106618793705,0.000164288397109468,0.000164288397109662,0.0185106618793685,0.000164288397109841,0.000398986107271598,0.00027028091137631,0.000270280911379923,0.167356728152973,0.0185106618793661,0.0465713357718894,0.0185106618793653,0.0185106618793657,0.0241265534955561,0.000270280911379017,0.0185106618793654,0.0185106618793638,0.000164288397109943,0.0329577231503454,0.0878640384762427,0.0151555178238112,0.000270280911377163,0.0224468020907431,0.000270280911378081,0.0185106618793625,0.0185106618793701,0.0724750822323654,0.0185106618793641,0.000164288397110244,0.0241265534955584,0.000270280911379506,0.00792781484605824,0.0185106618793646,0.00792781484605911,0.000270280911378669,0.000270280911377504,0.0185106618793731,0.018510661879365,0.00139645137545255,0.000270280911378998,0.0159168037754487,0.0185106618793692,0.000164288397109742,0.000270280911377413,0.000164288397109972
"Rhinolophus_eloquens",0.357364466268466,0.000160447144185188,-0.0010652580240129,0.00852378643616781,0.00852378643617532,0.00852378643617662,0.442254204880848,0.000389657350162951,0.000263961430756254,0.00852378643616573,0.00852378643616785,0.00146697894181024,0.000263961430757269,0.129234714841933,0.000160447144186119,0.000389657350162116,0.00549502147582861,0.00852378643616779,0.00852378643616996,0.000160447144185476,0.00852378643616626,0.0359617654848126,0.12923471484194,0.000389657350162387,0.056348531664239,0.00852378643617316,0.00852378643617267,0.00852378643616809,0.000160447144185737,0.000160447144185678,0.00852378643617045,0.000160447144185565,0.000389657350161948,0.00026396143075462,0.000263961430758169,0.079190219593364,0.00852378643617136,0.0886889451895298,0.00852378643616708,0.00852378643616995,0.0138059744130722,0.000263961430757789,0.00852378643616948,0.00852378643616484,0.000160447144185705,0.00841089654009402,0.0273792395601309,0.00827254840102104,0.000263961430755879,0.000514790970262757,0.000263961430756135,0.00852378643616615,0.00852378643617264,0.0125510509754544,0.00852378643616973,0.000160447144185485,0.0138059744130731,0.000263961430757972,0.00146697894181034,0.00852378643616767,0.00146697894181079,0.000263961430757066,0.000263961430755887,0.008523786436177,0.00852378643617024,0.00136380072556923,0.000263961430757901,0.101593694079638,0.00852378643617544,0.000160447144185631,0.000263961430755646,0.00016044714418543
